"claim","verdict","summary","source","link"
"When Haitians go to school in Springfield, Ohio, they “take the place of our children in school” and “each one will have a private interpreter.""","false","Springfield schools have hired staff to teach Haitian students and other English language learners, but we found no evidence that each student ""will have a private interpreter."" Trump said when Haitians go to school in Springfield they ""take the place of our children in school"" and ""each one will have a private interpreter."" A school official told the Springfield News-Sun in 2023 that English language learners do not take away from the English language students.","Donald Trump","https://www.politifact.com/factchecks/2024/sep/23/donald-trump/fact-checking-trumps-statement-about-haitian-stude/"
"In Springfield, Ohio, “murders are up by 81%.”","barely-true","Longer-term data, from 2013 to 2022, reported by the Springfield police to the FBI, shows that the number of homicides has fluctuated in Springfield without a clear trend. For example, the Springfield News-Sun reported that there were nine homicides in 2021; WHIO-TV said there were 12 homicides in 2021. Data reported to the Ohio Incident Based Reporting System showed that from 2021 to 2023, murders in Springfield rose from five to nine — an 80% increase.","JD Vance","https://www.politifact.com/factchecks/2024/sep/23/jd-vance/vance-cherry-picks-data-to-claim-81-murder-spike-a/"
"“400,000 workers are now in a union that were not in a union when (Biden) became president.”","mostly-true","Su said, ""Four hundred thousand workers are now in a union that were not in a union when (Biden) became president."" During a press conference, she said, ""Four hundred thousand workers are now in a union that were not in a union when (Biden) became president."" During the last 10 years, union membership was at its highest in 2017 at 14,744,00 — some 300,000 union members more than now.","Julie Su","https://www.politifact.com/factchecks/2024/sep/23/julie-su/yes-union-membership-has-increased-under-biden-but/"
"“Unlike other amendments, Amendment 4 has no definitions. … Without definitions these words can mean almost anything.”","barely-true","An anti-Amendment 4 ad in Florida says, ""Unlike other amendments, Amendment 4 has no definitions. ""Unlike other amendments, Amendment 4 has no definitions,"" the narrator said. ""Unlike other amendments, Amendment 4 has no definitions,"" the narrator said in a Vote No on 4 ad that aired during the Sept. 10 presidential debate.","Vote No on 4","https://www.politifact.com/factchecks/2024/sep/23/vote-no-on-4/floridas-amendment-4-on-abortion-is-short-does-a-l/"
"Sen. JD Vance admitted he has a ‘rent-a-dog’ from the Trump campaign to make him “seem like a dog person.”","false","The video shows Vance telling Carlson, ""He’s actually a rent-a-dog that was given to me by the campaign to make me seem like I’m a dog fan."" Vance did not call his dog a ""rent-a-dog."" Vance said his family has had Atlas since he was a puppy.","Social Media","https://www.politifact.com/factchecks/2024/sep/22/social-media/jd-vances-german-shepherd-atlas-is-his-actual-dog/"
"First lady Jill Biden led a Cabinet meeting for President Joe Biden and her signature appears on presidential stationery.","false","In an email announcing her Sept. 20 schedule, the White House said, ""At 11:30 AM, First Lady Jill Biden will join at the top of President Biden’s Cabinet meeting to provide an update on the progress of the White House Initiative on Women’s Health Research."" The White House said first lady Jill Biden and the White House Gender Policy Council would lead its Initiative on Women’s Health Research in November 2023. It was Jill Biden’s first Cabinet appearance since Joe Biden took office.","X posts","https://www.politifact.com/factchecks/2024/sep/21/tweets/jill-biden-joined-a-cabinet-meeting-to-give-a-wome/"
"Video claims to show Donald Trump in an interview with Diddy","pants-fire","We rate the claim that this video shows Trump and Combs in conversation Pants on Fire! Now, a viral video claims to show Combs in a one-on-one interview with former President Donald Trump. This video does not depict a real conversation between Trump and Combs.","TikTok posts","https://www.politifact.com/factchecks/2024/sep/20/tiktok-posts/no-this-edited-video-doesnt-depict-a-conversation/"
"“iPhones exploding in Lebanon blowing up random people.”","false","""iPhones exploding in Lebanon blowing up random people,"" said an X post accompanied by what looks like an exploded iPhone. But the image of the damaged iPhone is not from the Lebanon attacks. We rate the claim ""iPhones exploding in Lebanon blowing up random people,"" False.","X posts","https://www.politifact.com/factchecks/2024/sep/20/tweets/no-this-image-doesnt-show-an-iphone-that-exploded/"
"“Attorney General Merrick Garland just vetoed charging Ryan Routh with attempted assassination” of Donald Trump.","false","The TikTok video’s claim that Garland vetoed an attempted assassination charge against Routh ignores that Garland said the federal investigation of the incident continues. ""So, Attorney General Merrick Garland just vetoed charging Ryan Routh with attempted assassination,"" a man said in a Sept. 18 TikTok video that had nearly 200,000 likes by Sept. 20. But the TikTok videos ignore that the Justice Department said its federal investigation continues, and that more serious charges may come.","TikTok posts","https://www.politifact.com/factchecks/2024/sep/20/tiktok-posts/merrick-garland-didnt-veto-attempted-assassination/"
"""Taylor Swift unexpectedly lost a $125 million brand contract after a massive advertising campaign” endorsing Vice President Kamala Harris.","false","But PolitiFact found no credible news stories in the Nexis database or public statements by Swift saying she lost millions of dollars in a brand contract for supporting Harris. ""Hot News: Taylor Swift unexpectedly lost a $125 million brand contract after a massive advertising campaign,"" the post said. The Facebook post’s image of Swift is from a 2020 documentary about the making of her album ""Folklore.""","Facebook posts","https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/taylor-swift-did-not-lose-a-125-million-brand-cont/"
"“Portugal lanza monedas de 7 euros para honrar al legendario futbolista Cristiano Ronaldo”.","false","Las dos monedas conmemorativas en circulación son una de los 50 años del 25 de abril de 1974, la Revolución de los Claveles, que acabó con 48 años de dictadura en el país. Y otra de la participación de Portugal en los Juegos Olímpicos de París. Siwei Lyu, profesor de la universidad de Buffalo, dijo que las imágenes presentan muestras de inteligencia artificial.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/falso-portugal-no-lanzo-monedas-de-7-euros-con-la/"
"Former President Donald Trump “started out with $400 million on a silver platter and then filed for bankruptcy six times.”","half-true","A comprehensive New York Times review of the Trump family finances in 2018 found that Donald Trump received $413 million from Fred Trump or his estate over the course of his lifetime. When Fred Trump brought Donald Trump into the family business following his college graduation as vice president of multiple subsidiaries, the elder Trump ""telegraphed what had become painfully obvious to his family and employees: He did not consider his eldest son, Fred Trump Jr., a viable heir apparent."" Fred Trump set up ground leases for two of his developments in Brooklyn, the first of which became active when Donald Trump was 3 years old, the Times reported.","Kamala Harris","https://www.politifact.com/factchecks/2024/sep/20/kamala-harris/kamala-harris-exaggerates-scale-of-donald-trumps-i/"
"Ryan Routh's Instagram bio says he is a ""proud LGBTQ+ member""","false","Although much news coverage of Routh included coverage of his posts on X, detailed news reports from several major news outlets do not mention an Instagram account or any connection to the LGBTQ+ community. Routh’s social media accounts on Facebook and X  nor his self-published book mentioned LGBTQ+ identity. Immediately after reports surfaced Routh as the possible suspect, PolitiFact reporters searched for social media accounts under his name and found only a Facebook and X account.","X posts","https://www.politifact.com/factchecks/2024/sep/20/tweets/social-media-posts-connected-ryan-routh-with-lgbtq/"
"“Chiefs' Coach Andy Reid criticizes Taylor Swift: ‘You’re not a good role model.’”","false","""Chiefs coach Andy Reid confronts Taylor Swift ‘You’re not a good role model,’"" said a July 1 post on the SpaceX Fanclub Facebook account. ""Chiefs' Coach Andy Reid criticizes Taylor Swift: ‘You’re not a good role model,’"" a Sept. 17 Facebook post said. ""I think it's great for him,"" Reid said.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/fake-news-story-about-chiefs-coach-criticizing-tay/"
"“Kansas City Chiefs CEO bans Taylor Swift from attending games, calling her the team’s ‘biggest distraction.’”","false","In August, Bloomberg News reported that Hunt said Swift had helped to boost the Chiefs’ fan base by 30%. The Chiefs have issued no press releases about a Swift ban, and we found no public statements from Hunt saying as much. And this particular new claim about Swift and Chiefs CEO Clark Hunt has appeared on at least one Facebook page that notes ""nothing on this page is real.""","Facebook posts","https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/no-kansas-city-chiefs-ceo-clark-hunt-didnt-ban-tay/"
"Former President Donald Trump could have destroyed the Affordable Care Act, but “he chose to build upon (it).""","false","Vance’s assertion that Trump as president took steps to build upon the Affordable Care Act and protect the health coverage of 20 million Americans is simply not supported by the record. Trump said of the Affordable Care Act, ""I saved it."" Meanwhile, the Trump administration expanded access to some kinds of less expensive  health coverage that isn’t compliant with Affordable Care Act rules, including short-term plans that generally have more restrictions on care and can leave consumers with surprise medical bills.","JD Vance","https://www.politifact.com/factchecks/2024/sep/20/jd-vance/vance-misleads-trump-tried-to-take-the-aca-down-no/"
"“Tim Sheehy told us his health care plan: ‘We need to return health care to pure privatization.’ That would eliminate Medicare.”","barely-true","The Tester campaign ad said, ""Tim Sheehy told us his health care plan, ‘We need to return health care to pure privatization.’ That would eliminate Medicare."" A campaign Facebook ad that began running Sept. 6 said, ""Tim Sheehy told us his health care plan: ‘We need to return health care to pure privatization.’ That would eliminate Medicare, increase prescription drug costs, let insurance companies deny coverage for any reason, and force rural hospitals and nursing homes to close. On his campaign website, Sheehy shares criticisms of the U.S. health care system, including the Affordable Care Act, sometimes called ""Obamacare.""","Jon Tester","https://www.politifact.com/factchecks/2024/sep/20/jon-tester/in-montana-senate-race-jon-tester-exaggerates-tim/"
"Says Colin Kaepernick said he “will go to Russia if not properly respected in the United States.”","false","""Colin Kaepernick says he’ll leave Russia if he doesn’t get the respect he deserves in the U.S. - This is SATIRE,"" said a Sept. 10 Facebook post from SpaceX Fanclub, which notes that ""nothing on this page is real."" We rate claims Kaepernick said he would leave the United States for Russia False. ""Colin Kaepernick: ‘Will go to Russia if not respected properly in the United States,’"" a Sept. 13 post said.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/20/facebook-posts/colin-kaepernick-isnt-russia-bound-this-claim-orig/"
"Image shows “P Diddy with Kamala Harris.”","false","But one Threads post mischaracterizes an image of Vice President and 2024 Democratic presidential nominee Kamala Harris. ""Here is P Diddy with Kamala Harris,"" text above the image says. The person in the image isn’t Combs but talk show host Montel Williams, whom Harris once dated.","Viral image","https://www.politifact.com/factchecks/2024/sep/20/viral-image/image-shows-kamala-harris-and-montel-williams-not/"
"“If you make less than $100,000, Trump is about to raise your taxes. Currently, you’re taxed at 10% and then 12%. He would raise that to a flat rate of 15%.”","false","If Trump is elected and he successfully keeps the existing tax brackets in place, people making less than $100,000 will not see their income taxes increase to 15%, because the tax brackets will remain the same as they are today. Still, Trump has never said that he plans to enact the tax policy changes that Project 2025 proposes, so there’s no currently available evidence that he would pursue it. Although the Project 2025 plan doesn’t specifically recommend eliminating the standard deduction, if it were done away with along with most other tax credits, then people making up to $100,000 would end up paying a higher effective tax rate on their whole income, while people on the higher end of the first bracket would be paying lower taxes.","Wisco Project","https://www.politifact.com/factchecks/2024/sep/20/wisco-project/trump-has-not-said-hell-raise-taxes-on-people-maki/"
"Vice President Kamala Harris’ college professors disparaged her as their “worst student.”","pants-fire","The Instagram post also claims to quote Harris’ Berkeley law professor, but Harris graduated law school in 1989 at what was then University of California Hastings, now called the University of California College of the Law, San Francisco, or UC Law SF — not Berkeley Law in Berkeley, California. A reverse-image search shows the photo of the man in the Facebook claim is Bradford Grant, Howard University architecture professor. The Facebook post’s language originated Sept. 10 from a satire website, Esspots.com, and was shared on that site’s Facebook account.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/19/facebook-posts/social-media-posts-about-kamala-harris-college-stu/"
"Photo shows Kamala Harris posing beside Sean “Diddy” Combs.","false","A Sept. 17 Facebook post shared a screenshot of an X post with this photo, which appears to show Harris at an event with Combs and another woman. But the 2001 photo doesn’t show Harris and Combs posing together. A photo circulating online claims to show a young Kamala Harris posing beside music magnate Sean ""Diddy"" Combs, who faces federal sex trafficking charges.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/19/facebook-posts/no-this-photo-doesnt-show-kamala-harris-posing-wit/"
"“BREAKING: Police found ‘explosives’ in car near former President Donald Trump’s rally site on Long Island.”","false","We rate the claim that police found explosives in a car near Trump’s Uniondale, New York,  rally False. However, local police said that rumors about explosives found near the rally are false. One Instagram user shared a Sept. 18 Daily Mail headline that said, ""BREAKING: Police found ‘explosives’ in car near former President Donald Trump’s rally site on Long Island.""","Instagram posts","https://www.politifact.com/factchecks/2024/sep/19/instagram-posts/false-claims-spread-about-explosives-at-trump-ny-r/"
"Charleroi, Pennsylvania, “has grown by 2,000% due to an influx in migrants.”","false","Town officials said 700 to 2,000 immigrants have moved there over recent years, and there has been a significant rise in the number of students who are learning English in the school district. ""Take the small town of Charleroi, which has grown by 2,000% due to an influx in migrants,"" McCormick said in a recent post on X. McCormick said the Pennsylvania town of Charleroi has ""grown by 2,000% due to an influx in migrants.""","Dave McCormick","https://www.politifact.com/factchecks/2024/sep/19/dave-mccormick/dave-mccormick-exaggerates-charleroi-pa-population/"
"""El gran respaldo de Taylor Swift"" a Kamala Harris ""le cuesta $125 millones en acuerdos de marca"".","false","Al hacer una búsqueda en Google del titular de la publicación traducido al inglés, encontramos un artículo publicado el 12 de septiembre con una imagen de Harris y Swift en Esspots, una página web que se describe como creadora de contenido satírico. Pero PolitiFact no encontró noticias verídicas en la base de datos Nexis o declaraciones públicas de Swift diciendo que perdió millones de dólares en acuerdos con marcas por apoyar a Harris. No sabemos si el acuerdo con CoverGirl del 2010 sigue vigente, pero tampoco encontramos comunicados de prensa o publicaciones en las redes sociales de  la empresa de cosméticos, que pertenece a la empresa Coty, que digan que  terminó alguna relación con Swift debido al respaldo a Harris.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/19/facebook-posts/taylor-swift-no-perdio-125-millones-en-acuerdos-co/"
"Taylor Swift “lost 17 million followers by endorsing Kamala.”","false","""Taylor Swift loses more than 100 million followers on Instagram after Harris endorsement,"" a Sept. 11 post said. ""Taylor Swift loses 50 million Instagram followers,"" a Sept. 17 Facebook post said. ""Taylor Swift had 301 million Instagram followers last week, a Sept. 16 Instagram post said.","Threads posts","https://www.politifact.com/factchecks/2024/sep/19/threads-posts/ready-for-it-taylor-swift-didnt-lose-millions-of-f/"
"Rep. Ruben Gallego’s “first act in Congress was to propose legislation to BAN the use of the term ‘illegal alien.’”","false","The first bill Gallego proposed in Congress was the Veterans Education Tax Security Act, also known as the VETS Act. Rep. Joaquin Castro, D-Texas — not Gallego — introduced the CHANGE Act on Oct. 21, 2015, with Gallego and 107 other members co-sponsoring it. ""Gallego’s first act in Congress was to propose legislation to BAN the use of the term ‘illegal alien,’"" Lake wrote.","Kari Lake","https://www.politifact.com/factchecks/2024/sep/19/kari-lake/ruben-gallegos-first-act-in-congress-was-not-to-pr/"
"Of Bernie Moreno, “Now, he’s arguing for a national abortion ban, no exceptions.”","half-true","Brown’s campaign said in opposing the abortion access amendment, Moreno voted to uphold the six-week abortion ban with no exceptions for rape or incest. When he ran in Ohio’s 2022 Republican primary for Senate, Moreno said he opposed exceptions to abortion bans. In his 2024 campaign, Moreno has said he supports federal limits on abortion after 15 weeks, with exceptions.","Sherrod Brown","https://www.politifact.com/factchecks/2024/sep/19/sherrod-brown/sherrod-brown-claim-about-bernie-moreno-and-aborti/"
"“Country Music Television (CMT) has announced a permanent boycott of Taylor Swift.”","false","""In a move that shocked the country music community and beyond, Country Music Television (CMT) has announced a permanent boycott of Taylor Swift,"" a Sept. 16 Facebook post said. Singer-songwriter Taylor Swift hasn’t been banned from Country Music Television despite an old satirical post that’s regaining traction online. This Facebook post isn’t.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/18/facebook-posts/cmt-isnt-boycotting-taylor-swift-despite-old-onlin/"
"“Disney World officially moving to Nashville.”","false","Text below the headline said: ""Breaking news, Disney World is officially moving to Nashville. We rate claims Disney World is moving to Nashville False. We found no credible news stories, press releases or other evidence that Disney World is moving.","Viral image","https://www.politifact.com/factchecks/2024/sep/18/viral-image/the-mouse-isnt-moving-disney-world-isnt-ditching-o/"
"“Illegal” Haitians in Springfield, Ohio, are “reportedly killing and eating pets.”","pants-fire","The claim about migrants eating pets is unfounded, with a city spokesperson saying there are no credible reports it’s happening. PolitiFact rated social media posts about the claim False on Sept. 9, and Trump’s debate claim Pants on Fire on Sept. 10. ""Kamala Harris and Sherrod Brown are responsible for flooding Springfield, Ohio with thousands of illegal Haitians who are sucking up social services and even reportedly killing and eating pets,"" Moreno said in the caption of a Sept. 9 Instagram post.","Bernie Moreno","https://www.politifact.com/factchecks/2024/sep/18/bernie-moreno/republican-us-senate-candidate-bernie-moreno-pushe/"
"Karine Jean-Pierre, President Joe Biden’s press secretary, ended a press conference when a reporter asked about Donald Trump’s assassination attempt.","false","We rate the claim that Jean-Pierre ended a press conference when a reporter asked about Donald Trump’s second assassination attempt False. News of an apparent second assassination attempt Sept. 15 on former President Donald Trump has led to a slew of misinformation online. In an Instagram reel, Fox News correspondent Peter Doocy says to Jean-Pierre, ""It’s been only two days since somebody allegedly tried to kill Donald Trump again, and you’re here at the podium in the White House Briefing Room calling him a ‘threat.’ How many more assassination attempts on Donald Trump until the president and the vice president and you pick a different word to describe Trump other than ‘threat’?""","Instagram posts","https://www.politifact.com/factchecks/2024/sep/18/instagram-posts/no-bidens-press-secretary-didnt-walk-out-when-aske/"
"An image shows Taylor Swift responding to Elon Musk's X post about giving her a child by saying she's happy to take his daughter Vivian and ‘give her all the love and respect she deserves.’","false","PolitiFact found no evidence of a response to Musk being shared on any of Swift’s other social media accounts, including Threads, Facebook, Instagram and TikTok. No such post appears on Swift’s X account, with the most recent update, a post she shared June 22, 2024, wishing Prince William a happy birthday. The ""Vivian"" in the fake Swift post seemingly refers to Vivian Wilson, Musk's transgender daughter, whom the tech CEO said was dead to him after being ""killed by the woke mind virus"" following her transition.","Threads posts","https://www.politifact.com/factchecks/2024/sep/18/threads-posts/taylor-swift-remains-mum-on-elon-musks-impregnatio/"
"“In 12 states, children born alive after a failed abortion have no legal protection, and in three more states children born alive after an abortion had legal rights that governors — like Tim Walz — repealed.”","false","Perkins said, ""In 12 states, children born alive after a failed abortion have no legal protection, and in three more states children born alive after an abortion had legal rights that governors — like Tim Walz — repealed."" In a Sept. 11 Facebook post, Tony Perkins, president of the anti-abortion Family Research Council, wrote, ""In 12 states, children born alive after a failed abortion have no legal protection, and in three more states children born alive after an abortion had legal rights that governors — like Tim Walz — repealed."" Every person who is born has protections under federal and state laws.","Tony Perkins","https://www.politifact.com/factchecks/2024/sep/18/tony-perkins/no-legal-protections-for-born-alive-babies-in-some/"
"Images show Sean Combs’ booking photos after Sept. 16 arrest.","false","As of Sept. 17, no news outlets had yet published a booking photo of Combs following his Sept. 16 arrest, although The Associated Press shared court sketches from his Sept. 17 court appearance and images of Combs’ son leaving a Manhattan federal courthouse. We rate claims these photos were taken after Combs’ Sept. 16 arrest False. ""Breaking news,"" a Sept. 16 Threads post said.","Threads posts","https://www.politifact.com/factchecks/2024/sep/18/threads-posts/old-sean-diddy-combs-mugshot-recirculates-after-re/"
"“Kamala Harris has promised amnesty for the 10 million illegals she allowed in as border czar, making them eligible for Social Security. Studies warn this will lead to cuts in your Social Security benefits.""","false","The Center for Immigration Studies argued that providing a pathway to citizenship for the millions of immigrants who are in the U.S. illegally would harm Social Security partly because it would reverse the trend of having more beneficiaries than workers paying into the program. However, it published a 2021 report that said that providing a pathway to citizenship for the millions of immigrants who are living in the U.S. illegally would weaken Social Security’s solvency. And Harris has not announced a plan that would provide immigrants who entered the U.S. illegally under Biden a pathway to citizenship.","Donald Trump","https://www.politifact.com/factchecks/2024/sep/18/donald-trump/donald-trump-ad-makes-false-claims-about-kamala-ha/"
"Vice President Kamala Harris is “talking about bringing back the draft.”","pants-fire","Even if it were to pass, however, such a provision would not bring back the draft. The provision would require women to register for the draft; it would not institute a draft. Trump said Harris is ""talking about bringing back the draft.""","Donald Trump","https://www.politifact.com/factchecks/2024/sep/18/donald-trump/donald-trump-falsely-says-kamala-harris-is-talking/"
"""ABC elimina a los moderadores del debate David Muir y Linsey Davis"".","pants-fire","Una búsqueda en Google y en la base de datos Nexis no mostró noticias sobre el supuesto despido de Muir y Davis por parte de ABC News. Captura de pantalla de la publicación en Facebook. El artículo también dice que Elon Musk, propietario de X y director general de Tesla, y Megyn Kelly, presentadora de un programa de entrevistas conservador, comentaron en internet sobre el despido.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/18/facebook-posts/no-abc-news-no-despidio-a-los-moderadores-del-deba/"
"Este es “vídeo de una inmigrante haitiana que asesinó y se comió al gato de sus vecinos” en Springfield, Ohio.","pants-fire","La publicación incluye imágenes de la cámara corporal de un oficial arrestando a una mujer después de que los vecinos dijeran que ella mató y se comió un gato en una zona residencial. Alexis Ferrell, de Canton, Ohio, fue arrestada el 26 de agosto por crueldad animal y alteración del orden público después de que la policía de Canton dijera que torturó, mató y se comió un gato frente a la gente de Canton. Calificamos la declaración de que una inmigrante haitiana asesinó y se comió al gato de sus vecinos en Springfield, Ohio, como Ridícula y Falsa.","X posts","https://www.politifact.com/factchecks/2024/sep/18/tweets/el-arresto-de-una-mujer-en-canton-ohio-no-tiene-re/"
"CDC warns a third of adults may die from dangerous bacteria in ramen noodles.","false","The claim that the CDC warned that people are at risk of death from a deadly bacteria found in ramen noodles is not backed by evidence. We searched the FDA’s recalls, market withdrawals and safety alerts website and found nothing about ramen noodle products being recalled because of a deadly bacteria. ""A deadly outbreak linked to ramen noodles has sparked global fear as multiple deaths have been reported,"" a Sept. 17 Instagram video said through a talking fish.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/18/instagram-posts/cdc-hasnt-warned-about-deadly-ramen-noodles-despit/"
"“Donald Trump posted this photo of Taylor Swift saying that she was crying because she lost over $150 million worth of merchandise.”","false","""So, Donald Trump posted this photo of Taylor Swift saying that she was crying because she lost over $150 million worth of merchandise boycotting because she endorsed Kamala Harris,"" a person in the video said. ""Trump posts photo of Taylor Swift crying,"" read text in the video that also included a screenshot of an X post from an account called ""Donald J. Trump News."" Finally, the images of Swift used in the X post struck a nerve for some Swift fans and distressed the mother of a boy who died from cancer before his fourth birthday and inspired Swift to write a song about him.","Threads posts","https://www.politifact.com/factchecks/2024/sep/18/threads-posts/a-donald-trump-fan-account-not-the-former-presiden/"
"“Coca-Cola cuts ties with Taylor Swift over (Kamala) Harris endorsement.”","false","A Sept. 16 Facebook post styled to look like a news headline said, ""Coca-Cola cuts ties with Taylor Swift over Harris endorsement, ‘We don’t support her endorsement.’"" (Screengrab from Facebook) Users on Instagram and Threads made similar claims. We rate the claim that ""Coca-Cola cuts ties with Taylor Swift over Harris endorsement"" False. The Facebook post linked to an article on an unnamed website that said this endorsement prompted Coca-Cola to end its partnership with Swift because it ""clashes with the brand’s values of ‘unity and neutrality.’"" But the source of this claim is a satirical Facebook page called ""SpaceX Fanclub.""","Social Media","https://www.politifact.com/factchecks/2024/sep/18/social-media/not-the-real-thing-coca-cola-didnt-break-ties-with/"
"“Taylor Swift forced to cancel Eras Tour dates following endorsement backlash.”","false","We rate the claim that Swift was forced to cancel Eras tour dates after endorsing Harris False. We could not find any news reports about Swift canceling tour dates after her Harris endorsement. ""Taylor Swift Forced to Cancel Eras Tour Dates Following Endorsement Backlash: ‘Only 2,300 Tickets Sold,’"" read a Sept. 16 Facebook post.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/18/facebook-posts/no-taylor-swifts-didnt-cancel-eras-tour-shows-afte/"
