claim,verdict,explanation,source,link,id
Vice President Kamala Harris’ “60 Minutes” interview may be “a major Campaign Finance Violation.”,false,"Trump said on Truth Social that Harris’ ""60 minutes"" interview might be ""a major Campaign Finance Violation."" And the answer to that question is, ‘Yes.’"" And here’s the exchange on the same topic that was included in the full interview: Whitaker: ""We supply Israel with billions of dollars in military aid, and yet Prime Minister Netanyahu seems to be charting his own course. A CBS News spokesperson told The Associated Press that Harris said both of the statements seen in the preview clip and the full interview back-to-back during her sit-down with ""60 Minutes.""",Donald Trump,https://www.politifact.com/factchecks/2024/oct/12/donald-trump/trump-claimed-harris-60-minutes-interview-violated/,c505fe9d-1a51-41b4-88f8-839707ffcf65
"FEMA, FAA are “blocking” delivery of Starlink devices and supplies to North Carolina’s hurricane-hit areas.",false,"ET Oct. 4, Musk posted that a SpaceX engineer in North Carolina told him FEMA was ""actively blocking citizens who try to help"" Hurricane Helene survivors. Rumor"" webpage, on which it addressed what it described as a ""rumors,"" including that 1) the FAA was ""restricting access to the airspace for Helene rescue and recovery operations"" and 2) FEMA was ""operating and controlling airports in western North Carolina."" After entrepreneur Elon Musk claimed on X that FEMA was blocking relief efforts in North Carolina, social media posts multiplied, amplifying the claim and garnering thousands of views and shares.",Social Media,https://www.politifact.com/factchecks/2024/oct/08/social-media/fema-the-faa-arent-blocking-flights-delivering-sta/,81c72435-b29e-4371-bd87-01cc5800b5cd
"A Haitian woman was arrested in Springfield, Ohio, for eating a cat.",pants-fire,"We rate the claim that a Haitian woman was arrested in Springfield, Ohio, for eating a cat Pants on Fire! Alexis Ferrell of Canton, Ohio, was arrested Aug. 26 on animal cruelty and disorderly conduct charges after Canton police said she tortured, killed and ate a cat in front of people in Canton. Now some social media users are sharing police footage of a woman being arrested for animal cruelty as proof that Trump was right and the fact-checkers are wrong.",Instagram posts,https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/arrest-of-a-canton-ohio-woman-unrelated-to-baseles/,741ad22b-194e-42db-bf11-af32b1223989
Sam Brown “said abortion should be banned without any exceptions for rape or incest.”,half-true,"A Rosen campaign ad said Brown ""said abortion should be banned without exceptions for rape or incest."" Sam Brown said in the interview that he supported exceptions to abortion bans for rape, incest and when the mother’s life is threatened. A Dec. 5, 2023, Nevada Independent article reported that Brown’s campaign said it ""disavows"" and had ""no involvement"" with the 2022 questionnaire in which Brown said he supports abortion law exceptions when the mother’s life is at risk.",Jacky Rosen,https://www.politifact.com/factchecks/2024/aug/19/jacky-rosen/jacky-rosen-oversimplifies-sam-browns-abortion-sta/,48d6c1d6-173a-4613-a847-ebc496708687
"Says his Jan. 6, 2021, speech on the White House Ellipse drew the “same number of people,” as the 1963 March on Washington where Martin Luther King Jr. gave his “I Have a Dream” speech.",false,"(AP)   The question that triggered Trump’s crowd-size answer was about Jan. 6, and Trump called it ""the biggest crowd I’ve ever spoken to."" Describing his speech to supporters on Jan. 6, 2021, Trump said he spoke to the ""same number of people, if not, we had more"" than King’s 1963 ""I Have a Dream"" speech. Here is an image of the crowd during King’s speech: A crowd near the Reflecting Pool listens to Martin Luther King Jr. and other speakers during the March on Washington in 1963.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/09/donald-trump/trumps-false-mlk-speech-jan-6-crowd-size/,523b27d9-cc85-4562-8511-d71a763c19bc
Republican Senate candidate Dave McCormick “wants to outlaw abortions.”,barely-true,"But he has said during the 2024 campaign and his campaign website says that he does not support a national abortion ban. Although McCormick has previously made statements that could be considered pro abortion restrictions — such as that he ""believes life begins at conception"" — he has said during the 2024 campaign cycle that he opposes a national abortion ban. It also says McCormick said he opposes exceptions for abortion restrictions in cases of rape and incest, a claim previous ads also have focused on.",Democratic Senatorial Campaign Committee,https://www.politifact.com/factchecks/2024/aug/15/democratic-senatorial-campaign-committee/pennsylvania-senate-candidate-dave-mccormick-has-n/,a9ee1187-104f-4e3d-97ef-22df0aa5cefd
“Hurricane Nadine was a catastrophic Category 5 hurricane that struck Central America and the Bahamas in October 2024.”,false,"""Hurricane Nadine was a catastrophic Category 5 hurricane that struck Central America and the Bahamas in October 2024,"" the text says. Still, text spreading online appears to describe a Hurricane Nadine in the past tense. Hurricane Nadine wasn’t a catastrophic Category 5 hurricane, because as of Oct. 10, it never existed.",Instagram posts,https://www.politifact.com/factchecks/2024/oct/11/instagram-posts/hurricane-nadine-didnt-exist-as-of-oct-10-but-a-fi/,731bb80d-91dd-4442-8538-fef59056b7b8
“Nowhere on her birth certificate does it say that she is BLACK OR AFRICAN. … Kamala Harris is NOT black and never has been.”,false,Loomer claimed a birth certificate proves Harris is not Black and never has been because it doesn’t say she is Black or African. The birth certificate does not address Kamala Harris’ race. But Harris’ birth certificate did not include information about her race.,Laura Loomer,https://www.politifact.com/factchecks/2024/aug/06/laura-loomer/birth-certificate-doesnt-list-kamala-harris-race-b/,bf87822c-29d8-40ad-8180-68fe4e5d6d84
Travis Kelce endorsed Kamala Harris.,false,"We searched Google and the Nexis news database and found no credible news reports about Kelce endorsing Harris as of Sept. 24. ""Breaking: Travis Kelce Follows Taylor Swift’s Footsteps, Supports Harris: ‘Taylor Made the Right Decision,’"" a Threads screenshot of a Sept. 15 X post reads. We rate the claim that Travis Kelce endorsed Kamala Harris in mid-September False.",Threads posts,https://www.politifact.com/factchecks/2024/sep/24/threads-posts/no-travis-kelce-didnt-endorse-kamala-harris-for-pr/,813fbf4c-c77c-49eb-8d8e-87c035f03dfa
Kamala Harris has adopted the Nazi-rooted phrase “Strength Through Joy” as her campaign slogan.,false,"But there’s no evidence that Harris has made ""strength through joy"" her campaign slogan. Harris has not adopted the phrase ""strength through joy"" as her campaign slogan. PolitiFact searched campaign speech transcripts and news articles and found no instances of Harris using that exact phrase.",Instagram posts,https://www.politifact.com/factchecks/2024/aug/26/instagram-posts/no-kamala-harris-isnt-using-a-nazi-rooted-phrase-a/,0480c0d0-55ad-4b51-aaf5-33bd55c01284
“It has just come out that Democrats in Washington and the Democrat Governor’s Office of North Carolina (Roy Cooper) were blocking people and money from coming into North Carolina.”,pants-fire,"""It has just come out that Democrats in Washington and the Democrat Governor’s Office of North Carolina (Roy Cooper) were blocking people and money from coming into North Carolina to help people in desperate need,"" Trump wrote Oct. 11 on Truth Social. The National File’s Oct. 10 article discussed companywide emails from two Blue Cross Blue Shield in North Carolina employees with updates about the hurricane disaster and guidance about how to safely assist. Trump said, ""It has just come out that Democrats in Washington and the Democrat Governor’s Office of North Carolina (Roy Cooper) were blocking people and money from coming into North Carolina.""",Donald Trump,https://www.politifact.com/factchecks/2024/oct/12/donald-trump/trump-said-north-carolina-gov-cooper-democrats-blo/,83d3df9a-6a61-462e-af84-09fee207a5fa
Says Minnesota Gov. Tim Walz was “banned from future games for flipping off the fans.”,pants-fire,"We found no other evidence, such as credible news stories or public statements from football or university officials, to corroborate the claim that Walz was banned. Tim Walz didn’t flip the bird to football fans at a recent college game, much less get banned from the stadium. Walz also extended a finger — but he’s pointing, not flipping someone off.",Threads posts,https://www.politifact.com/factchecks/2024/oct/11/threads-posts/tim-walz-wasnt-banned-from-college-football-games/,26956be2-59f7-4b12-8c44-578f58c6e770
"In negotiating releases of Americans held abroad, “(I) gave the opposing country NOTHING — and never any cash.”",barely-true,"In one instance, the U.S. agreed to pay money to North Korea for the release of a U.S. citizen, but a White House official said the money was never sent. However, Bolton, who was not working in the Trump administration at the time of Warmbier’s release, said the U.S. ""absolutely"" did not pay North Korea any money for the release. National Security Adviser Jake Sullivan said the U.S. did not exchange money in the deal.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/07/donald-trump/donald-trump-released-prisoners-dropped-charges-wh/,47b1e3bd-ec6d-42f5-8fdc-4c9d0ad318bb
"With U.S. Customs and Border Protection’s CBP One app, it “takes less than 5 minutes and zero documentation to get approved as an illegal immigrant and be flown to the United States with air tickets paid for by the American taxpayer.”",false,"Besides asylum seekers, the CBP One app is also used by people who have applied through U.S. The app is used only for scheduling and prescreening; it’s not an asylum or parole application and doesn’t grant migrants U.S. entry. Just as the CBP app itself is not an asylum application, the appointments also are not an asylum application, and border officials don’t decide which people are granted asylum.",Elon Musk,https://www.politifact.com/factchecks/2024/oct/04/elon-musk/unpacking-elon-musks-false-claim-about-cbp-one-app/,ad33a7db-58db-411e-874b-d0f8e4881cb0
“I went down in a helicopter with (Willie Brown). We thought maybe this is the end. We were in a helicopter going to a certain location together and there was an emergency landing.”,pants-fire,"Former President Donald Trump’s tale of an emergency helicopter landing unraveled after one of its main characters, former San Francisco Mayor Willie Brown, told news outlets it never happened. Trump did fly on a helicopter with a different Democrat named Brown — former California Gov. Although we found no news articles about a helicopter crash or emergency landing involving Trump and Brown, we discovered a report about one treacherous helicopter trip involving the former mayor.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/09/donald-trump/trumps-unproven-story-about-willie-brown-and-a-har/,5db97be3-5f71-4773-984e-b1cd2d9b62ac
Says Simone Biles “announces retirement” and “reveals she is ‘expecting a baby.’”,false,"Even before her final performance Aug. 5 in the Paris Games, a floor routine that netted her the silver medal, a Facebook post claimed that Biles had announced her retirement and said she was pregnant. Simone Biles is the most decorated gymnast in history and she finished the 2024 Olympics with three gold medals and one silver. ""Just Reported that America’s most decorated Olympic gymnast of all time, Simone Biles Announces Retirement at 27 After Securing Gold at Paris Olympics, Reveals she is ‘expecting a baby’ with her husband, Jonathan Owens.",Facebook posts,https://www.politifact.com/factchecks/2024/aug/05/facebook-posts/simone-biles-didnt-announce-her-retirement-or-a-pr/,891fed71-6167-4086-ba81-954662928d42
U.S. Transportation Secretary Pete Buttigieg banned private drones from flying over areas affected by Hurricane Helene.,barely-true,"The Federal Aviation Administration on Oct. 2 issued a temporary flight restriction in limited parts of the areas Hurricane Helene affected, but lifted the restriction that night. But a Transportation Department spokesperson said the Federal Aviation Administration has not banned drones from providing Hurricane Helene disaster relief and recovery assistance. But a Transportation Department spokesperson said the Federal Aviation Administration is not banning drones from providing Hurricane Helene disaster relief and recovery assistance.",X posts,https://www.politifact.com/factchecks/2024/oct/04/tweets/private-drones-can-fly-over-areas-hit-by-hurricane/,12d46c90-48b2-41a5-99ad-e90712dc2571
The government is arming “illegal immigrants.”,false,"We searched Google and the Nexis news database and found no credible reports of the U.S. government supplying immigrants in the country illegally with weapons. The U.S. government is not giving weapons to immigrants in the country illegally, contrary to social media claims. Immigrants in the U.S. illegally are not allowed to own guns, per federal law.",Instagram posts,https://www.politifact.com/factchecks/2024/sep/26/instagram-posts/no-the-us-government-is-not-arming-immigrants-in-t/,3e6a26be-73d5-4b69-b4a5-9e23978f5604
Photo of former President Donald Trump after an assassination attempt was generated by artificial intelligence.,false,"Vucci’s image was authentic and the moment was widely observed. In the altered image, Trump appears to have six fingers. But these posts claiming it wasn’t a real photo include an altered version of the real image as proof.",Viral image,https://www.politifact.com/factchecks/2024/aug/30/viral-image/no-this-isnt-an-ai-generated-photo-of-trump-raisin/,7dc6dddb-00cf-45c6-a836-102dbd0e9610
An image shows Travis Kelce responding to Elon Musk X post that followed Taylor Swift’s endorsement of Vice President Kamala Harris.,false,"A post shared by Taylor Swift (@taylorswift) Entrepreneur Elon Musk, who supports former President Donald Trump in the presidential race, responded to Swift’s endorsement on his X platform. A Threads post shared an image that it said shows Kelce responding to a Musk X post. Like Kelce, Swift has not publicly responded to Musk’s X post.",Threads posts,https://www.politifact.com/factchecks/2024/sep/13/threads-posts/no-taylor-swifts-boyfriend-travis-kelce-didnt-say/,7851ea6c-2250-410f-9714-a36e4faf654b
“They create hurricanes via cloud seeding” and “direct them where they want the Hurricane to go!”,pants-fire,"A Facebook post’s claim that Hurricane Milton was created using cloud seeding and steered toward Florida describes something that’s technologically impossible, weather experts said. The ""NOAA confirms that there are no weather modification activities that could have resulted in Hurricane Helene or Hurricane Milton,"" Allen said. If we could geoengineer a hurricane then there would be a lot of other weather that would be dealt with — which isn't happening.""",Facebook posts,https://www.politifact.com/factchecks/2024/oct/10/facebook-posts/no-cloud-seeding-wasnt-used-to-create-hurricane-mi/,2e5264aa-42df-4db4-8ba9-200b9b301a24
“PA Gov Josh Shapiro isn’t attending the DNC at all.”,false,"That’s because Shapiro has been at the convention, which started Aug. 19. ""PA Gov Josh Shapiro isn’t attending the DNC at all,"" a screenshot of an X post shared Aug. 19 on Threads said. On Aug. 20, Shapiro took the mic during the DNC’s ceremonial roll call vote, which was broadcast and streamed live, and led the Pennsylvania delegation in submitting their votes for Harris as the Democratic nominee.",Viral image,https://www.politifact.com/factchecks/2024/aug/21/viral-image/pa-gov-josh-shapiro-is-at-the-democratic-conventio/,bb2e5fce-f5bd-461c-acda-1bfae87b98d9
"""Debate moderators made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth.""",false,"An Instagram post claiming a moderator falsely told Trump ""that there is nowhere in the United States where abortion is legal up until birth"" misstates what Davis said. But ABC’s fact-check of Trump on abortion was not about state restrictions on gestational age. ""Last night during the ABC debate, two of the participants, otherwise known as the moderators of the debate, made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth,"" a man said in a Sept. 11 Instagram video.",Instagram posts,https://www.politifact.com/factchecks/2024/sep/13/instagram-posts/abc-moderators-fact-check-of-trump-was-about-postb/,d4ae3f03-cd3c-45ab-98d7-2b95fbe8d1d1
"“Elon Musk is going to expose Bill Gates soon, says ‘he’s evil.’”",false,"""Elon Musk is going to expose Bill Gates soon, says ‘he’s evil,’"" read text in a Sept. 8 Threads post that showed images of Musk and Gates. ""Elon Musk’s shocking claim: Bill Gates is ‘evil’— prepare for the ultimate exposé!,"" the post said. SpaceXMania, which claims to ""bring you the freshest fake news,"" posted a story on its site Nov. 8 with this headline: ""Breaking: Elon Musk exposes Bill Gates on X, says ‘he’s evil.’"" The story was labeled ""satire"" and we found no evidence on Musk’s X account or elsewhere online that he called Gates ""evil.""",Viral image,https://www.politifact.com/factchecks/2024/sep/12/viral-image/speak-no-evil-claims-elon-musk-said-he-was-going-t/,735398c4-6015-43dc-9d16-cac59bae91ab
"""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""",barely-true,"One study of 342 U.S. large, profitable corporations found they pay an effective tax rate of 14.1%, which is a higher rate than paid by most middle-income workers Harris referred to. Under current law, the 25 highest-earning billionaires paid a 16% tax rate on average, estimates show, while the top 1% of taxpayers paid an average rate more than 25%. Harris said, ""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""",Kamala Harris,https://www.politifact.com/factchecks/2024/oct/10/kamala-harris/kamala-harris-off-base-on-tax-rate-comparison-of-b/,ffcb9ae5-a02b-4ac4-9ded-70bc457015af
Republican state Senate candidate Ashlee Adams “campaigned for Mark Robinson and his radical agenda.”,false,"Asked for evidence that Adams campaigned for Robinson, an Everitt spokesperson said the Adams campaign posted a voter’s guide on its Facebook Aug. 25 that listed Robinson as the Republican gubernatorial candidate. Everitt’s campaign ad claims Adams ""campaigned for Mark Robinson and his radical agenda."" ""Ashlee Adams is working with Mark Robinson to take abortion rights away,"" a narrator in Everitt’s ad says.",Terence Everitt,https://www.politifact.com/factchecks/2024/oct/12/terence-everitt/democrats-falsely-claim-ashlee-adams-campaigned-fo/,02fff293-7625-42b2-a312-981ec6aebfd9
Biden Executive Order 14019 “requires our taxpayer-funded federal agencies to violate the Hatch Act and engage in illegal vote harvesting.”,pants-fire,"The order does not require federal agencies to violate the Hatch Act. The order calls on federal agencies to expand voter registration activities and to do so within the bounds of the law. Tenney claimed that Executive Order 14019 ""requires our taxpayer-funded federal agencies to violate the Hatch Act and engage in illegal vote harvesting.""",Claudia Tenney,https://www.politifact.com/factchecks/2024/aug/02/claudia-tenney/executive-order-to-expand-voter-registration-calls/,72d5290e-d324-4f7a-8155-9ae4f40c9111
Kamala Harris “supports mandatory gun confiscation.”,barely-true,"Trump said Harris ""supports mandatory gun confiscation."" We asked the Harris campaign whether she still supports mandatory assault weapons buybacks. While running in the 2019 presidential primary, Harris said, ""I support a mandatory gun buyback program"" for assault weapons.",Donald Trump,https://www.politifact.com/factchecks/2024/aug/07/donald-trump/kamala-harris-once-backed-mandatory-assault-weapon/,a931d446-9b6c-4189-ac1c-3959dec117b6
“Project 2025 wants to get rid of NOAA” and the National Weather Service.,half-true,Project 2025 has a few pages about NOAA and the National Weather Service and some of its phrasing is vague. Project 2025 includes about four pages on NOAA and the National Weather Service. Project 2025 would not outright end the National Weather Service.,Jared Moskowitz,https://www.politifact.com/factchecks/2024/sep/26/jared-moskowitz/what-does-project-2025-say-about-the-national-weat/,d1f4e7a0-fd4a-4812-b410-02a5293ba197
Video shows footage of Hurricane Helene,false,"The second clip was taken in Urbandale, Iowa, during a July 2024 tornado, according to local news reports. We tracked the origins of the 10 separate clips included in the compilation:  The first clip featuring a white building and red pickup truck was taken in Nash County, North Carolina, during a July 2023 hurricane, according to WTVD-TV. The third clip of a flying trampoline in a backyard was taken in July 2021 in Rock Hill, South Carolina, according to a video posted on The Weather Channel website.",Instagram posts,https://www.politifact.com/factchecks/2024/sep/27/instagram-posts/viral-video-compilation-tries-to-pass-off-old-foot/,6361e357-c180-42da-ab26-20276351dadc
"""Since Vice President Harris and I took office … incomes have risen faster than prices.""",mostly-true,"This distinction matters because if Biden had said ""wages"" had exceeded inflation since he took office, he would have been wrong. After adjusting for inflation, per capita personal income after taxes has risen modestly, once you remove the temporary influx of pandemic-era stimulus cash that distorts the data for January 2021, Biden’s first month in office. ""Since Vice President Harris and I took office, our economy has created nearly 16 million jobs, average unemployment has been lower than during any administration in 50 years, and incomes have risen faster than prices,"" Biden said in an Aug. 2 statement.",Joe Biden,https://www.politifact.com/factchecks/2024/aug/06/joe-biden/have-incomes-outpaced-inflation-since-joe-biden-to/,616674d9-7671-4a8a-8eb4-a07e972c0177
"Olympic air pistol shooting medalist took up the sport during his divorce and told his ex-wife from the podium, “I want my dog back.”",false,"Along with the jokes, one story about Dikec making the rounds on social media claims he had a dark backstory to his shooting prowess. One Facebook post shared side-by-side photos of Dikec shooting at the Olympics next to one of him at home with the cat. But the tall tale came from a satirical account called The Sportsmemery, which shared the fake Dikec story in an Aug. 1 post that it described as satire, something the other posts sharing the story omitted.",Instagram posts,https://www.politifact.com/factchecks/2024/aug/05/instagram-posts/olympic-shooting-stars-origin-story-about-messy-di/,1d16b3f2-6cca-452e-b752-76d58a3d8010
"“MAGA Republicans like Kari Lake support Project 2025, which would raise the retirement age for 73% of Arizonans.”",barely-true,"On the campaign trail, Lake hasn’t explicitly endorsed Project 2025, but she has appeared in a Project 2025 promotional video. Gallego said, ""MAGA Republicans like Kari Lake support Project 2025, which would raise the retirement age for 73% of Arizonans."" ""MAGA Republicans like Kari Lake support Project 2025, which would raise the retirement age for 73% of Arizonans,"" Gallego said Aug. 17 on X.",Ruben Gallego,https://www.politifact.com/factchecks/2024/sep/26/ruben-gallego/has-kari-lake-supported-project-2025-on-social-sec/,0179bef9-857b-4bbd-a045-9a8c1bc1d0b1
“Taylor Swift faces a 10-game NFL ban following controversial political involvement.”,false,"We’ve fact-checked misinformation about Swift and her Sept. 10 endorsement of Vice President Kamala Harris, the 2024 Democratic presidential nominee. We’ve fact-checked misinformation about singer-songwriter Taylor Swift and the NFL. One fake news page, SpaceX Fanclub, has been especially prolific with Swift-related posts and features fabricated headlines from Dec. 27 (""NFL franchisees express concerns over Taylor Swift ‘she’s ruining the NFL, and we’re banning her from games’""), Jan. 5 (""Taylor Swift is ruining the NFL and we’re banning her from games""), Feb. 9 (""NFL to ban Taylor Swift from games ‘she’s woke and very distracting’"") and Feb. 20 (""NFL franchise owners make it absolutely clear: ‘Taylor Swift ruint the NFL, she’s going to be banned from next season’"").",Facebook posts,https://www.politifact.com/factchecks/2024/sep/26/facebook-posts/taylor-swift-isnt-banned-from-upcoming-nfl-games-b/,1f946a10-ff0e-4015-a20a-713a98358197
Photo shows a toilet after “some Hezbollah operative blew up.”,false,"After pagers used by members of the militant group Hezbollah exploded Sept. 17 in Lebanon and Syria, killing more than 30 people and injuring thousands more, an image of a damaged and charred toilet started to spread on social media. We rate claims this photo shows a toilet destroyed after a member of Hezbollah ""blew up"" False. But the toilet image is old, and from Hong Kong.",X posts,https://www.politifact.com/factchecks/2024/sep/24/tweets/no-this-isnt-a-photo-of-a-toilet-destroyed-by-an-e/,c304d2de-f5c0-4b5a-920c-921a7e047dce
Videos show Kamala Harris intoxicated.,false,"Text above the video said police officers had determined that Harris was intoxicated. The first post shared a video of Harris remaining seated on the first night of the DNC in Chicago as those around her stood and applauded. Many of the social media posts shared clips of Harris’ comments that have gone viral and said they show Harris was drunk — such as when Harris described her mother asking, ""You think you just fell out of a coconut tree?""",Social Media,https://www.politifact.com/factchecks/2024/aug/22/social-media/no-social-media-videos-do-not-show-kamala-harris-i/,6132b9c1-d387-4853-9090-7b4e74f5e773
