label,statement,source,uuid
barely-true,husband didnt wrap nomination june,LIAR,a130afd4-80b8-4b5c-9242-4644ddca39c5
half-true,since passage obamas stimulus package 1 million additional jobs lost nearly 25 million americans work stuck parttime work given looking,LIAR,a686160b-6e09-48c6-8fb3-c805715ca746
true,since famous day february governor campaigned barack obama behalf stimulus program 211000 floridians lost jobs,LIAR,29e70e53-ec5c-4278-b2a0-4d71a8802b89
false,youre syria youre christian come country refugee,LIAR,4986f412-c3b9-4b58-b89e-b726c0e3178d
barely-true,says military commanders said donald trump elected would follow orders,LIAR,455ff30a-855f-4f0a-9bb4-82fa737d9204
false,statistics show 2 3 texas women per week major complications 10 women per week seek help er abortion,LIAR,5d0b5471-2954-40e6-958f-0ccfd566aed0
pants-fire,abc elimina los moderadores del debate david muir linsey davis,PolitiFact,36ae341d-f805-4d2d-9d0e-a6db07e3e3c3
true,1980 2010 water usage georgia dropped even states population grew,LIAR,d25f7a42-57c6-4262-af1e-83a36badf5af
mostly-true,says never told anyone hated us senate,LIAR,3e8f676a-403c-4441-9fcf-075d1f743644
Labeled,taylor swift lost 30 million social media followers endorsing democratic vice president kamala harris 2024 presidential election,Snopes,0f957558-c5db-4a27-a6c0-c2b927c7b2f9
false,says supreme court nominee merrick garlandvoted folks know washington dc keep guns away private citizens,LIAR,329d9ed7-5c37-4e94-82f6-6e782104a262
false,karine jeanpierre president joe bidens press secretary ended press conference reporter asked donald trumps assassination attempt,PolitiFact,fbf398e0-08eb-4f33-961e-30aca26501bc
true,six justices us supreme court confirmed presidential election years since 1912,LIAR,0d921d75-6939-4725-ae71-9a510a994b9f
half-true,9997 percent kids live poverty attend cleveland public schools,LIAR,814b3178-9a0f-42e7-a796-7799b955f4db
barely-true,walker says hes lower taxes milwaukee county spending gone 349 million,LIAR,ff3ce299-7153-4349-8972-6638b169c7f0
half-true,barack obama raise social security taxes,LIAR,ca66b8ee-8c4c-41a6-80ad-88d4f47276e1
half-true,losing thousands veterans waiting line cant get speedy health care veterans administration,LIAR,c1e09d93-8fa1-42e8-80b6-104370ceff5c
barely-true,president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon,LIAR,d1e9926e-a870-4540-8e5b-5f5563269e2a
half-true,sen joe biden ranking member foreign relations committee recommended partitioning iraq three separate entities,LIAR,086ab105-4246-4250-a877-9921fdff4f8b
mostly-true,says chris abele opponent milwaukee county executive race failed finish 3 separate colleges dropping 3 times,LIAR,409274c3-f0a3-4e95-899c-9b79bc034f9f
mostly-true,every 10th dollar spent social security administration program poor waste fraud cant validate people gotten totaling 8 billion year,LIAR,254fcb22-05c0-4cb5-ad58-a18fb41a3299
mostly-true,congress begin recess without allocated one penny fight zika,LIAR,10926b75-15dc-4900-a5d9-5e9f18a801c7
half-true,says daniel webster wants make divorce illegal even abused wives,LIAR,fb90759a-289c-4822-8842-9c4a221b3fdc
mostly-true,democratic party candidates state assembly actually received 200000 votes statewide republican counterparts 2012 election,LIAR,71269a25-7b1a-4b18-ab1d-0fbea331ac24
pants-fire,flight atlanta houston canceled due terrorist dry run,LIAR,b2cffdd5-ba92-4381-8b50-b00da2b2be94
false,factually correct say jennifer brunner inherited least 18 lawsuits came office result ken blackwells mismanagement 2004 election,LIAR,ed1fe646-8bb3-41e5-a135-5517a9687dec
mostly-true,since parole abolition virginias crime rate fallen third lowest country recidivism rate 20 percent thats second lowest country,LIAR,7b96bfaf-a52c-40e7-adc5-378406afd01a
false,obama supports hatecrimes expansion potentially putting churches risk preach truth homosexuality,LIAR,3268008d-5484-42cb-af18-a6e9388418ed
true,ham cheese sandwich one slice bread responsibility usda ham cheese sandwich two slices bread responsibility food drug administration,LIAR,15ed7079-37c7-431f-8996-2657dc203d00
false,says alex sinks plans governor include 125 billion new spending,LIAR,2a4f49e7-46bb-41e8-b68c-7dfc8311556b
pants-fire,simple review backrooms health code records reveal restaurant already longstanding problem rodent infestations,LIAR,41cad3d3-d508-4c44-9ceb-075cd8403415
pants-fire,creflo dollar needed 65 million gulfstream g650 carry thousands pounds food supplies well word god worldwide,LIAR,8d7addca-7116-4494-b46a-eea996dc0b13
true,donald trumps tax plan 51 percent single parents would see taxes go,LIAR,4f297ce0-ac0e-4fce-9a80-7cc69dfef126
pants-fire,says texas bail loan program oversaw state agriculture commissioner,LIAR,d1de31c4-c170-42a0-9800-cf9e3811f960
false,mccain hasnt held executive responsibility,LIAR,69f710c9-1a47-452c-b6df-08f7de262870
barely-true,says obama administration spent taxpayer dollars electric cars finland windmills china,LIAR,d4b40f7f-6970-4788-95b3-8314fb61bfd8
pants-fire,says tennessee gov bill haslam made clear repeated actions pursue policy promotes interest islamist sic radical ideology long governor,LIAR,7a50e199-3f20-4c03-88a8-a76ff71c7630
half-true,seven 10 states lowest unemployment rates republican governors approach republicans using working,LIAR,9b9532f3-6779-4e8c-a206-97d87748a397
half-true,iran nuclear deal putting billions dollars back country thats worlds largest supporter terrorism actually giving money fund terrorists killing us allies,LIAR,fcfdc4a9-cf95-44f4-b00e-af0b118f2b3a
false,opponent supported policies increased tuition 18 percent,LIAR,437342d8-3413-4ef7-9649-fabf346c31a0
half-true,says democratic senate candidate bruce braley voted cut 700 billion medicare support obamacare,LIAR,e4c13f6c-d8e7-406f-9ec9-73dc138ecb2e
false,mayor cicilline providence sanctuary city,LIAR,6f05170c-0345-4240-a802-4385688b221d
pants-fire,fluoride water originally done nazis,LIAR,5a4d0343-35d0-4ba5-a472-1132fac2c624
mostly-true,senator barack obama supported amendment basically gutted legal temporary worker program,LIAR,6cbb8992-07f9-4d34-b111-0552869d7c7f
mostly-true,bill richardson passed first law nation giving national guard soldiers 400000 life insurance,LIAR,54f5cefb-4000-4379-bf60-18c2d0bc0392
barely-true,entirely possible democratic nominee hillary clinton earned money giving single speech wall street made six years back 1980s fact quite likely,LIAR,1285a3cb-2ba2-4e60-b3f7-979a353d3f79
pants-fire,aig insures pension trust united states congress,LIAR,0b4a5a18-84ab-415b-b917-d96d5ca40517
barely-true,says theres 4 billion private investment along streetcar,LIAR,65c7a777-469e-4a9d-8328-87a7824780a4
half-true,left office 7million surplus providence 2008 city 110million deficit,LIAR,46bd6a43-b1de-4e68-8be9-2c72d2a02ebc
mostly-true,gov scott walkers proposals money taken away workers tax breaks given major corporations,LIAR,c76aba44-6c78-4b22-8f79-ccf08bdfee39
half-true,president offered fewer executive actions almost president preceding presidency recent history,LIAR,a745d8a4-42e2-4995-9e10-9e88a5417ba8
true,letting occupy atlanta protesters stay woodruff park,LIAR,a2ae3ef7-da8c-409e-a150-2cc12bf02579
mostly-true,remain one poorer members united states senate,LIAR,584ad712-91e9-46db-b1fc-3e23bb31a778
pants-fire,china trying develop nuclear capability,LIAR,d3659f9a-4950-4a95-8d18-c74fa7af118b
pants-fire,theres thing menopause,PolitiFact,68e53c39-0b9d-49ad-9ccd-5ce6d3c85d74
barely-true,says executive order requiring young girls vaccinated hpv wasnt mandatory,LIAR,ab4f4d4c-b1a9-4069-94d8-15bf20c75f12
false,theres conclusive specific report say russia trying muddy election,LIAR,9ef545a9-f743-4077-b23a-14e9fd9893c1
true,says four super pacs republican side texas us senate race,LIAR,64a7f07c-75de-40c5-a3b1-ba270457d1dd
barely-true,says travis county commissioner gerald daugherty claims taken pay cut 2016 voted raise salary 196 percent,LIAR,e1974147-5518-425b-bbaf-abf7834b5b3b
half-true,know saudi arabia started alqaida,LIAR,bc73b1ca-9089-4ada-b39f-0ad830319b4a
false,republican plan end medicare,LIAR,c05658fa-6e36-4a24-8053-9e6a0ea2055b
mostly-true,says dontre hamilton killed confrontation milwaukee police officer unarmed,LIAR,d4490e34-82e0-4e69-a703-747874fbbea8
false,says president obama granted congress exception obamacare,LIAR,8ebe6614-35b5-4fbc-b359-d4d86087f3e8
barely-true,says free public university tuition program paid tax wall streets speculation,LIAR,a2cc35cc-b797-476b-af28-1d3a27aac5da
false,says ted cruz supporter legalizing people country illegally proposed giving work permits,LIAR,dd77387c-8a29-4c65-a24d-0b4e0d0b1a2c
false,theres mosque inside pentagon,LIAR,d11768cc-f299-4d82-8992-d67fbb019982
half-true,florida law like indianas religious freedom restoration act,LIAR,cee93ae0-1289-4736-8015-c2ace7018a18
true,gov romney clear would veto dream act,LIAR,4ab40f7f-4be3-4680-9cc2-3f8e33e4c2d4
barely-true,says adam hasner said never accept pay increase voted raise pay four times,LIAR,ebe5796f-0cb2-4cea-a805-360302922175
half-true,fact past year tax cuts almost time nations history,LIAR,c529a58d-dc68-4468-878a-2c4c6c0deeeb
barely-true,fought 38 studios beginning,LIAR,664cd0a4-5a96-4d96-aa2d-d21f9c5e9cd5
mostly-true,says state bill checks spending habits milwaukee county board supervisors bringing line county boards around state,LIAR,d13fe186-2376-4ea2-b5cf-bda5da44926c
pants-fire,ever wonder one ever came forward obamas past saying knew attended school friend etc one person ever come forward past,LIAR,06ce6e6d-e13a-45f9-8c2a-592627fcb50d
barely-true,says us sen ron johnson voted cut 700m medicare,LIAR,589576e2-ac5a-4bcf-b760-5c73befc64b6
barely-true,says bill nelson sold agricultural land home development pocketing least 14 million,LIAR,553f8bed-7374-4e43-98e4-4e2bb2f6550a
half-true,1993 republicans embraced health platform proudly features individual mandate main component,LIAR,371af835-7833-418a-8deb-c75533c9e7af
true,texas would increase current state spending 28 percent reach national average spending per resident,LIAR,f1170d7d-3f60-4ab1-9b2e-d1736deaebad
pants-fire,four state assembly democrats scored death blow northeast wisconsins economy killing hundreds jobs potential bass pro shops near green bay,LIAR,15ee16c0-8e27-4132-b5c3-facca9396b5e
false,gains atlanta public schools scores national standardized test lend credence dramatic score increases state tests,LIAR,35e35df4-f63f-4279-948e-a97739002fe4
half-true,says donald trump saidhewould neutral israel enemies,LIAR,5568eacd-61d0-41af-8785-061256141edd
false,says area near proposed northern wisconsin iron ore mine 15 hours away public hearing mining held,LIAR,33dd4b12-002e-4566-a641-1c3270ee2cef
half-true,comes aid united states still half european countries give percentage,LIAR,e075241f-48b7-4d15-8795-2c926b722411
false,justin amash rated michigans 1 conservative national right life,LIAR,cc8e00ba-da94-4bb2-9728-68ec6e66dae5
true,costs cancer affiliated issues 20 billion year state,LIAR,be0ed256-18e9-4ce4-85a2-32082ee05abc
mostly-true,says eight countries lead united states percentage college graduates,LIAR,b2fe1990-c0a5-4c3e-9fa5-02a6ad67662b
half-true,tim kaine hiked tuition governor claims champion affordability,LIAR,22b888cb-30d2-49c7-85a9-404dc2519d0b
half-true,says 50 percent millennials dont associate political party,LIAR,331fd5c0-d350-40a7-892f-6aa33b6ab212
barely-true,congress tom barrett voted allow abortions ninth month moments baby born,LIAR,49d9436b-fb3e-4c7a-bdf0-9df687fa00fd
half-true,campaigns past sen mccain president george w bush others tended release tax records april,LIAR,f96d03c2-bb9e-4520-b672-17d93ac8a945
false,every time raise minimum wage number jobless people increases,LIAR,8791f30b-5f50-42de-a9c0-3f2db73c566b
half-true,stabilizing recent financial crisis cost less 1 percent gdp less 25 percent fix savings loan crisis 1980s,LIAR,4489fb5b-1eda-4eab-b5a4-dee622003373
false,ive either balanced every budget turned back surplus,LIAR,3c8f5374-e9f5-436f-8004-2137c994073b
true,even obamacare fully implemented still tens millions people covered,LIAR,8058c209-da4f-42fa-b34e-163ec61d89e2
half-true,says democrats raised taxes 115 times past 10 years making new jersey increasingly unaffordable chasing jobs neighboring states,LIAR,73caa2d0-9b3e-44c7-8771-311c17e74842
mostly-true,poll results past 35 years show state union speeches move presidential approval numbers,LIAR,d8d913c4-8102-4cd5-9e69-a2e905999eed
pants-fire,says patents ultrasound revolutionized modern medicine,LIAR,e2cdaca0-6e47-4a03-998d-a6b45c62a2d7
barely-true,americans lost jobs barack obama president modern history,LIAR,06b4fc55-2345-4ee6-8848-d79813727a93
barely-true,significant drop floridas unemployment rate good economic sign,LIAR,92c68820-6f2c-4699-a2a8-dd81fc3d1082
pants-fire,obama admits citizen,LIAR,20cfe363-3453-4fe0-acdb-ba9b53b5916c
half-true,says gov chris christies proposal reduce state income taxes would second tax cut rich governor two years,LIAR,a2e9e9a8-5243-44f7-8091-f71e4f186ac4
half-true,says obama administration catches releases nonviolent illegal immigrants,LIAR,ec80d9ca-4857-47d5-bc1c-4599b71489c0
true,republicans congress refuse list single tax loophole willing close,LIAR,329c747a-ab0a-40a7-9f46-b71b4f3c1f2f
true,georgia ranks 49th women serving elected state federal offices,LIAR,6510b63c-04dd-4695-94a1-d73b9f328cf3
half-true,president barack obamas initial response heard christmas underwear bomber say act isolated extremist,LIAR,b987bb44-ef8f-462e-b427-d7219ac8050a
half-true,vast majority public school students receiving less state support private voucher peers,LIAR,2a6db7e3-ddf3-4150-b601-c2a02b54ab50
mostly-true,uk unarmed police force firearm fatality rate 40 times lower per capita us,LIAR,52dfab24-6c9b-4bc3-944b-7db3f52b7006
half-true,90 percent gains gone top 1 percent,LIAR,8b92493f-8346-4c84-9756-b1f330d70fb1
barely-true,says texas nations uninsured residents,LIAR,c8de07d9-3c89-46d7-ad13-068dde66b171
false,new england journal medicine released survey week president obama signed obamacare stating 30 percent american physicians would leave profession government took health care,LIAR,5267cc4c-ddfa-4298-acf1-5bbd4b58407b
mostly-true,top onetenth 1 percent americans almost much wealth bottom 90 percent,LIAR,3dddbee4-5e92-4bae-9031-2e0bf23b905c
barely-true,says george lemieux even compared marco rubio barack obama,LIAR,174dba94-966b-485a-91ff-99d935d6bc30
barely-true,price gasoline 185 gallon president barack obama took office since nearly doubled policies,LIAR,c2e7574a-19d9-4015-9816-11909a7df29a
mostly-true,farm bill farm bill 90 percent food stamps,LIAR,992829c0-3f17-47e4-8312-afce68915ad3
barely-true,medicare premium support backed republican vice presidential candidate paul ryan vouchers,LIAR,027a2e8f-cefd-4456-a6f7-53cc35dacfc7
false,says barack obama getting nominees confirmed faster president george w bush time second term,LIAR,4d57fbef-8b41-4d47-bab5-7007e0695c10
barely-true,war spending bill actually spends money international monetary fund war,LIAR,f412a356-bfa8-4af9-a8c7-a7552d15f75e
true,nearly 40 percent mcallenarea constituents suffer obesity,LIAR,50350dc0-1fd1-49fa-b012-8be25f5a9f1f
pants-fire,back door gun control full effect united states due obamas environmental protection agency,LIAR,d41f130f-a54d-4039-bc19-2752a9cf87d9
true,since 1968 americans died gunfire died wars countrys history,LIAR,c0bbcb10-f928-409e-9ced-39b54f5f9caa
true,eight nine states competitive senate races hispanics make less 10 percent electorate,LIAR,ee67e551-3f97-4bf3-b698-f1cfc3e61d55
mostly-true,dream act written members parties came vote year half ago republicans congress blocked bill hadnt changed thing changed politics,LIAR,4b198aea-25c5-422d-80aa-7d374ee5ae7b
half-true,says politifact ruled ed gillespies ads false misleading,LIAR,0f93cfd3-c212-476b-a32b-067dcfa43c33
mostly-true,majority american people opposed health care law signed still oppose today,LIAR,03e98c46-5d71-49d5-b738-9abde785caba
half-true,rhode island burdensome level healthinsurance mandates nation,LIAR,c23a109c-41ac-4701-9fe2-7cac3ec376f3
barely-true,says obama failed pass budget,LIAR,b79d193f-ec77-4878-ae30-86f8dd76f8c8
pants-fire,buehler elected votebymail system would risk,LIAR,3af8a8e7-f9d9-45f0-9bd2-f89fdcab0d37
half-true,says administration put border patrol agents usmexico border time history flow undocumented workers across border actually lower 40 years,LIAR,7ae5819f-0692-45e0-86a9-8c68e94fcf1e
true,year overwhelming majority new jobs part time,LIAR,8f993008-f713-42e6-af29-4cd8927cbef5
true,children born today carry 30000 share national debt,LIAR,09b3f30b-621e-4b78-97c4-e6269d4bba99
mostly-true,says legislation pending house would effectively limit eliminate timeandahalf people work overtime,LIAR,7241a4a5-2972-47e1-bda5-c6d590be8e8e
mostly-true,says jeff wentworth republican vote texas measure requiring women sonogram receiving abortion,LIAR,b4b17a20-6002-45b1-b285-1d31b7be2dda
true,republican party fought hard 60s get civil rights bill passed well voting rights bill,LIAR,ec24a9cf-68c2-40ff-b1b9-751b9e7bf6f1
half-true,says number democrats voted gop measure allowing health plan renewals close number voted gop bills delay mandates employers individuals,LIAR,f9dc787b-1d78-4297-9977-2ba21bbdfc51
half-true,women make 77 cents every dollar earned men,LIAR,9a82a39b-a2ab-4e0a-8661-d19746ae3acd
mostly-true,georgia senate ethics resolution doesnt define cap,LIAR,c180e67d-03b8-4bb9-acf7-be57a77c7144
false,wealth gap blacks whites united states greater blackwhite wealth gap apartheid south africa,LIAR,524c7ae2-f753-44e0-8162-3f71f78e38bb
half-true,weve got 72 percent unemployment ohio include folks stopped looking work actually 10 percent,LIAR,381dab91-ab37-4fe8-a7ff-13c236e444a1
true,wisconsin national average wage growth job growth,LIAR,0180cabe-ebb0-4aa6-846f-163339790165
false,2014 elections american people overwhelmingly said dont want obamacare dont want amnesty,LIAR,eab35a7e-f01f-4c21-9596-012ca5373399
false,says oregons legislature simply authorizes 450 million crc leave oregon holding bag great deal cost responsibility,LIAR,cccd5744-51ef-42e6-a982-ba056012bf36
false,president barack obama suggested national tv democratic health care bill government decide healthy 100yearold woman need pacemaker take pain pill instead,LIAR,1e58d03e-c108-4ae6-a77f-81fc5fe7752e
pants-fire,prayer rugs recently found texas side border brush,LIAR,b89a7f37-4629-4c8c-9dd9-73a3bbc45ee5
mostly-true,highest corporate income tax world right,LIAR,6399c220-e261-4d4f-9341-02e89e3bf32a
true,47 percent americanscant pay unexpected 400 expense savings credit cards without selling something borrowing money,LIAR,72cabade-9329-4c09-aa98-9829676bc0ee
mostly-true,protests wisconsin proposed collective bargaining changes phony sick notes passed excuse striking union members,LIAR,4e65fc59-4f64-4b4b-a448-04c918ff2da2
barely-true,says us rep ann mclane kuster used 293000 taxpayer money send campaign mail,LIAR,05c127d5-82b1-4760-baad-ff7401cfa4b7
half-true,says gop congressional candidate scott jones wants build wall wants round people deport folks,LIAR,18beac22-fd84-42a7-9fe5-26ed5bccb054
false,last time sustained surge confidence governments competence ronald reagan,LIAR,408ef3f0-95a5-49ec-9943-7550f4c9a8b9
half-true,led fight stop health insurance rate hikes saved rhode island families 150 million,LIAR,2cdbfa8f-a841-4e0c-b054-583e45128fe9
mostly-true,public employees dont pay benefits starting april 1 2011 equivalent 1500 state employee layoffs june 30 2011 10000 12000 state local government employee layoffs next two years,LIAR,297f6aaa-e5c9-420d-8810-326a3185e843
false,pasco county budget doubled past three years,LIAR,2cd72022-d890-42cb-b559-b7f674a73650
false,monthly police fire protection fee wisconsin phone bills nothing support police fire,LIAR,8444e232-27d4-4bc9-b9bf-07b79355a9ba
barely-true,2010 clinton said iran could enrich uranium 2014 said shes always argued,LIAR,7a8bbe16-a0e5-4d24-adba-c8813c12b8ef
mostly-true,women still paid 82 cents every dollar man earns texas,LIAR,3f74c58d-a8a9-444f-8257-394721908fff
mostly-true,traditionally presidential candidates release tax returns mitt romney still wont,LIAR,870c1aae-83d4-47bf-8e3c-7c1ef9416db3
barely-true,last year additional 81000 pages government regulations stack would threestory building,LIAR,9b0ea5ef-0b45-40c1-9b41-16ae4a631b5f
true,past three years deep poverty reached highest level record,LIAR,6a938ffb-f803-451d-a068-9c789342d36b
mostly-true,firearms homicides 40 percent since texas passed concealedgun permit law,LIAR,dece93f0-b7c5-431e-8db9-52471ce1baae
false,president obamas lawsuit claims unconstitutional ohio allow servicemen women extended early voting privileges states early voting period,LIAR,804fe8c0-e0ef-4494-b13c-bcc686a8fcc8
half-true,says donald trump hired illegal workers poland pay million dollars judgment,LIAR,6ab1114e-481b-4fc3-9941-aaecdb4128a7
false,rick scott said would away department community affairs,LIAR,39083243-7a0a-4c3b-a332-df2451aee395
barely-true,pass immigration reform make wages go average 250 average household,LIAR,09f3e7fa-06d9-4543-9131-e7ac8b4948ab
false,paul ryan budget proposal would leave country without medicare,LIAR,fbb12bd9-ffc3-4607-a9b1-a02796ae75f9
false,since wisconsin gov scott walker took office losing jobs rates seen decades,LIAR,883fbe76-51e4-4e1d-a24f-a0d79ff9a9ad
barely-true,american conservative union gives rep tim ryan dismal 00 percent rating billions contributed national debt,LIAR,f5f7e677-3590-448a-8c25-15934a589fe9
mostly-true,austin biggest city america tier one research university utaustin without medical school,LIAR,54b056c9-7b7e-4aae-bf25-2102d8c4dac4
false,know truman said want friend washington buy dog,LIAR,7a811f11-ac45-46c0-b3dd-8952f18dc8cd
half-true,rhode island become second state mandate vaccine state regulatory fiat without public debate without consideration elected representatives people,LIAR,441dfad3-b6f9-4d29-895d-35ce65c5eec1
mostly-true,high school dropout makes average 19000 year high school graduate makes 28000 year college graduate makes 51000 year,LIAR,d891d350-be7e-4d1f-9d19-5f30f3140ef1
barely-true,work longer hours people industrialized world including japanese,LIAR,c0604349-2f26-4c51-97ab-2639ecf514d9
true,says donald trumps proposed tax treatment hedge fund managers makes current loophole even worse,LIAR,d4550c2c-b20b-4259-9fd3-e1f6357a7d84
half-true,welfare system consumes 42 percent budget,LIAR,8c20034d-b4d2-432b-92b7-c4a0b9e8cffb
barely-true,drawn presurge levels basra mosul sadr city quiet long tough setbacks,LIAR,8982f0f0-f33b-4161-9aec-5892061c14e3
barely-true,scott walker wisconsin moved 16th third percentage people student loan debt,LIAR,0f4bca92-c713-47ca-85b6-33377c84c01c
true,economy still three people looking every job opening,LIAR,c9db9e10-9313-48a0-8151-3e604fa49744
barely-true,fought republican budget ends medicare know,LIAR,205dd886-ab4c-4bb6-bb50-73988440ef4b
true,get license fish beaches,LIAR,7f5726de-024e-49e7-b8c8-3a3f52d37625
pants-fire,obamacare prevents florida regulating insurance,LIAR,bfeed371-8760-417a-b4aa-c62aa70c5c62
mostly-true,says donaldtrump proposes tax cuts 3 trillion millionaires like 2 trillion corporations like,LIAR,c83ab373-49a4-4eaf-8c00-8b85b89b177c
true,average south korean is3 inches taller average north korean huge gulag,LIAR,d165fde5-b2de-4bf9-9cfe-5898a547c0bd
barely-true,across country half us attorney seats remain without prosecutor chosen obama,LIAR,f53217bd-492e-4dcd-9635-87819886e9e6
barely-true,3 billion next five years taken public schools put vouchers,LIAR,e1470fe3-f47a-4500-a0bc-d8d5503959df
mostly-true,want talk firsts bush first time american history president took us war cut taxes,LIAR,24923ff9-0be0-4247-974f-df8b08d126c3
mostly-true,last year korea sold nearly half million cars country united states know much sell six thousand kind deal,LIAR,285ab902-eda5-41d7-9f7d-fb2e69e4df11
Misattributed,lowes ceo marvin ellison said conservatives like values take money home depot,Snopes,c60739ab-5ebd-455a-bc4b-b786f2b3c4b3
half-true,theres three countries entire world wheretheres paid vacation law happen one,LIAR,470c6206-6938-402d-ac71-eaa3f97b300d
pants-fire,obama tells russia hell turn americas defense system reelected,LIAR,8780da34-14b2-429c-a89e-a3095433731d
pants-fire,portland schools spend 500k deem pbj sandwiches racist,LIAR,154dcd4e-8ea3-42d5-806a-29e4d21b3433
half-true,california added twice many jobs florida past year,LIAR,402ce87d-0dfc-412c-af66-c6e035f4935c
true,war afghanistan officially longest war americans ever asked endure,LIAR,df750c53-83d4-4494-9938-02b6be09953b
true,says people signed recall petitions wisconsin state sen jim holperin received harassing phone calls outofstate telemarketers claiming represent democratic party insinuating foul play petition circulators,LIAR,5981a65b-a584-45bc-881c-ef1fd508b4ea
pants-fire,today gasoline hit 6 gallon florida,LIAR,fd80e1c5-6bc6-472c-a98a-818f465bfb69
false,insurance industry actually run mostly democrats,LIAR,6d43ea1e-d165-4bc3-a417-c31cff8558a2
false,anything lose tariff perspective consumer gain higher wages youre ultimately much better,PolitiFact,1e8a8f97-d6f9-4c11-88d4-a46766a91a0a
barely-true,mark herring voted allow sex offenders including rapists serve shorter sentences,LIAR,396a5c6a-63ce-4323-b923-5a978e2800e5
pants-fire,mayor fung wants punish childrens education removing 12 million dollars current funding pay private charter school taxes would increase 6 8 percent per year,LIAR,2e3bc994-2296-45b7-9bec-b653fa6eaf10
half-true,says would bring 186740 new jobs wisconsin donald trump would cost wisconsin 61050 jobs,LIAR,f40992ab-e92a-4794-91dd-8e77e5ca3769
true,united states borrowing 40 cents every dollar spend,LIAR,41858d43-2bac-4b1a-99a3-a822324b3095
half-true,bill white long history trying limit even disenfranchise military voters,LIAR,57c90a9a-65ff-42bd-8287-543dbdbcf543
false,sen barbara boxer passed three bills 18 years law,LIAR,3e9f4c41-8cf1-4b27-a746-e577886955e6
false,metro whether could use bond money restoration,LIAR,67fa7d98-f954-432d-9757-f7c1f2d2c350
half-true,says 1 million texans jobless state highest unemployment rate 20 years joblessness doubled rick perrys watch,LIAR,091a3414-c256-480b-93f0-1bb479f8c764
true,florida concealed weapons permits state,LIAR,289f239f-a6bb-4bc7-8b50-b31ca0ee6651
barely-true,one things found clearly consistently video gaming growth industry,LIAR,df30364b-bc3b-4952-967d-eb0a31511b38
pants-fire,says mitt romneys investments created zero jobs,LIAR,3d9c8aa6-046d-4380-8955-d95df7bbdafe
true,less onetenth atlantas transportation needs covered referendum levy 1cent sales tax,LIAR,d64850ee-5ed7-4226-905b-132dfe3ee344
pants-fire,affordable care act likely go biggest tax increase history,LIAR,45d69fa9-8735-4590-8334-f62eeea5a46e
