label,statement,source,uuid
true,know statistically take sat second time one third people take sat even theyve studying get lower score first time around,LIAR,5a8240de-0d5a-4b3d-b8b4-c454de7e7d52
true,united states right incarcerates africanamericans percentage apartheid south africa,LIAR,2ed8d299-57fb-418e-8f22-33427959f2c5
mostly-true,mccain opposed ethanol hes,LIAR,ce548573-d0f6-461e-89b8-5bdd938ec281
false,experiencing worst economic recovery america ever,LIAR,9b53bf38-0916-4ef1-b6d7-04454b5cb680
mostly-true,jim doyles commerce secretary mary burke spent 125 million dollars buy vacant lot company said plans create jobs wisconsin laid 800 workers,LIAR,f1b62726-f8bd-476d-a10b-64f0b293405b
half-true,amount debt pace double five years triple 10 federal debt 100000 per household,LIAR,f5548799-90a6-49b7-83d6-ff544d8da268
false,wisconsin 98 percent small businesses qualify incometax relief plan freeing expand create jobs,LIAR,450e9d24-a598-4b1c-ba25-493fd60c493c
true,bill delaying start classes labor day would permit school districts shave 5 full weeks school year,LIAR,7854eb3f-807e-4e09-ad38-ade5e5c65612
true,buono voted 154 times raise taxes like sales tax income tax health care taxes even small business taxes,LIAR,b21c7a40-b14d-4f58-ba2d-36a4241febed
false,average us military working dog saves lives 150 200 servicemen women span career,LIAR,1ac1a231-6d7c-4f43-938e-11f7c7890cac
false,people working state new jersey today weve ever history,LIAR,3439219a-5f43-42f8-98ed-f9a01003a2c1
barely-true,warmer mars parts united states canada polar vortex,LIAR,f6eddd96-e0bf-4102-9be3-598e913c8bee
mostly-true,going difficult us long spending 275 million day war never authorized,LIAR,5c44cead-5775-46fe-aa73-155990d7ca59
true,past three years state legislatures enacted restrictions abortion previous 10 years combined,LIAR,fdd8265f-0f8e-4ea8-8669-da1b55a30cb3
mostly-true,arizona law basically parrots federal immigration law,LIAR,480457cc-f234-46e9-a6e3-30c1429a9c8e
pants-fire,bundy ranch deal nevada sen harry reid using federal violence take peoples land state package resell chinese,LIAR,7e9a1dc5-6a70-4843-b24c-916f1f037d95
barely-true,president obama came ohio 12 times try defeat guess didnt win,LIAR,06660967-282c-4623-8645-120cc8082d6e
true,lifespan average american less people nations spend far less health care put bluntly spend die sooner,LIAR,e055da4e-5f6e-4e65-9555-70184cfe68c1
mostly-true,75 percent jobs created state ohio created small business created huge corporations wealthy,LIAR,8b8d0564-60b3-480a-802c-07bfced59a0c
false,harry reid voted give special tax breaks illegal aliens,LIAR,b1f2c51e-1b47-4efa-a517-ab8c4f05ad54
mostly-true,employee free choice act mandates elimination secret ballot,LIAR,1e67eca0-cb86-441e-802d-02a108282227
mostly-true,funding tuberculosis research provided us national institutes health,LIAR,9905ace1-df24-4c1d-8b4d-262de26b5afd
barely-true,economic impact new atlanta braves stadium includes 9241 new jobs 295 million wages,LIAR,ccb7847e-701c-4947-91d1-78a25bd739e9
barely-true,wisconsin legislative committee release funding,PolitiFact,938ad281-d300-4a29-bd8b-6139591cf48c
half-true,congress pass renewal payroll tax cut end year nearly 160 million working families see taxes go roughly 1000,LIAR,b4f4080f-e805-47bb-90eb-58da48380569
pants-fire,never considered maverick,LIAR,32f27dde-4ebe-407e-bf80-82032a1e67c3
half-true,since 2000 texas reduced harmful pollutants air like nitrogen oxide 625 percent ozone 23 percenta reduction 12 percent greater national average,LIAR,4be58117-0821-427a-b944-7c1e4f05b9c5
half-true,advanced democracy world makes harder people vote,LIAR,6b7b63dd-44f8-41ae-b54e-2d0e1e518b84
pants-fire,says never member georgia log cabin republicans,LIAR,af73a063-0136-4660-adaa-da3064ac38b8
false,1990s biden crime bill added 100000 cops americas streets result murder violent crime rates went eight years row,LIAR,f96a3df1-30ff-46d5-8fd1-13ae908fd303
false,state employees actually going get pay raise,LIAR,42df92f2-7e9f-4884-995a-eac17ff3e0bf
pants-fire,company hired common core testing florida attract every one children become homosexual possibly,LIAR,f4ebd37a-8ae6-43c3-80d6-57ca961b3dc5
half-true,says sen kay bailey hutchison took 154 private flights funded taxpayers though commercial flights readily available fraction cost,LIAR,966aa198-edd6-49f8-9980-81fa12643b02
half-true,women barack obamas white house earning less men,LIAR,2e9a3607-46a0-40e1-ae8b-011938bde1aa
true,war coal period coal jobs coal produced ohio five years ago spite talking points yard signs,LIAR,36aace52-002b-4429-b4d9-0dae3e8cac11
mostly-true,right keep 50 percent georgia techs graduates,LIAR,ba09097b-f038-4f09-8bfe-bdc3fe98773a
false,every year no1 pick law enforcement agencies within texas,LIAR,3a93d625-d6a6-4891-bb4e-caba20f880b6
half-true,says floridas pension plan faces longterm funding problems social security,LIAR,77e4ee77-2961-4ee6-a9b6-a2b352661d7d
true,dark money spending 2016 election cycle 10 times point 2012 election cycle topped 308 million,LIAR,9e4c76ef-b73e-4e2c-8286-0b8de4ac8529
false,warren buffett called jeff greenes scheme financial weapons mass destruction,LIAR,8c8ad0b6-c555-48d7-8bbb-da88f7ce66a6
mostly-true,three months act took effect america lost 750000 jobs month last three months weve lost 35000 jobs month,LIAR,51ad344c-4e5c-4fe8-93ac-341848592138
false,premiums medicares prescription drug program fallen almost every year since began,LIAR,21a3bd3d-6003-4dfc-a976-d43544d4a83a
half-true,mccain voted bill ban waterboarding applauded president bush vetoing ban,LIAR,de65dfec-4613-42f3-a3c5-fa48fb872971
half-true,president obamas healthcare reforms premium average plan family didnt go 2500 per year gone 2500 per year,LIAR,06c565f0-13ec-4aca-8007-e848c4a8ecd2
true,says gloria steinem called kay bailey hutchison female impersonator,LIAR,4b10e594-fca2-4f34-a886-13b5658656d8
false,says gov scott walker dropped kicked college short degree long kicked student elections marquette university,LIAR,b3842f32-1463-434a-a691-66c2dfcf5d7b
True,disney short film features donald duck dreaming worked munitions factory nazi germany,Snopes,7758db38-9580-42d5-bebd-ae4a23b76185
half-true,20132015 richest 14 americans increased net wealth 157 billion yet republican budget would require americans contribute one penny deficit reduction,LIAR,38bf4cd5-381c-4da6-8800-70635f5533bf
false,new jobs numbers wisconsin fallen dead last midwest job growth,LIAR,53af839f-d61f-4418-b4b8-11581a54a43d
false,cant pass budget senate united states without 60 votes,LIAR,18e520f5-6649-43e2-89e5-966a187bcb39
barely-true,toledo fourth nation behind much bigger cities miami las vegas portland number human trafficking arrests rescues,LIAR,a03ed13b-03dc-4d6a-888f-6a0ec680b16c
false,president obama saying success result government hardworking people said youve got business didnt build somebody else made happen,LIAR,ae207513-cfeb-4cfc-8e75-b7a150cd50cb
false,one thought could get bipartisan bill medicaid passed florida senate,LIAR,106663c8-6969-4697-92e6-96295635452e
half-true,end decade interest owe debt could rise nearly 1 trillion,LIAR,72f0389b-21c7-4af1-8348-22b09f5eba25
mostly-true,individuals small businesses hit increases health insurance premiums high 39 percent,LIAR,838732b9-9d6f-4777-92dc-49b4dab6c14a
false,says donald trumps polling numbers show hes highest hispanics republican ever,LIAR,8945f56c-2c5b-4328-97ba-288d4a99a30b
mostly-true,koch brothers richest people world individually theyre fifth put together theyre richest world,LIAR,6e22e527-c8ea-4bde-853c-dd972164462b
false,reconciliation,LIAR,f8005403-87e4-498c-94cb-92e95d00c8b1
half-true,hearing frustrations parents teachers fcat next year begin improving testing system,LIAR,47f93d30-ca37-4565-9853-04e11df56e48
true,theres correlation primary turnout wins fall last 11 elections,LIAR,478828fd-bcdc-453b-a738-42912da75b27
half-true,weve rebuilt china,LIAR,36723fcf-af4c-4e31-84c5-11c444383251
true,congressional budget office nonpartisan office analysis said passing comprehensive immigration reform reduce federal deficit 200 billion next decade,LIAR,d8bc8ea3-3a35-4385-bcc5-7431799da594
true,cigarette butts poison babies small children nicotine,LIAR,0152c711-8b4c-4570-bbb8-d262dd64d5d8
barely-true,whats clear romney likes firing people,LIAR,cfac01d6-13de-4534-a3f0-0fd5842afb50
true,says last 48 years every governor midterm first term first term lost seats legislature exception jim mcgreevey 2003,LIAR,48c64dfa-8608-423a-a3aa-3b5e1ceddc9f
false,gov tim walz insulted ann coulters romantic history called son weird,PolitiFact,7d403676-36cb-4e65-a3c2-9413523564cc
half-true,2009 fbi referred 71000 cases people failing background checks trying buy gun another federal agency us attorneys ultimately prosecuted 77,LIAR,374d6241-7a77-4d8c-95e0-6b97f88dddd2
half-true,milwaukee incarcerates 12 white men incarcerated 50 black men 30s,LIAR,8be5ccc3-d725-4b1c-8102-7155e368f4bd
barely-true,leant name bill little nothing three years ago try get passed since done absolutely nothing disavow attempt move legislation,LIAR,9f5c49b4-ed04-40b2-a486-e761b3ce39d4
true,says 24 million people country cant find fulltime job 50 million cant see doctor theyre sick 47 million people need government help feed 15 million families owe value home,LIAR,2cea2468-9db5-4a8d-ae3f-dfe6c6132ebf
true,colorado raked 60 million marijuana taxes licensing fees past year,LIAR,18bb5c7f-a369-47e2-89fe-63367c9bd788
half-true,fact economy better democrat white house,LIAR,c54b4954-6640-40bf-863f-7cd90caafa18
true,nearly top 50 prescribers oxycodone united states florida,LIAR,67beed18-edd6-4192-baa4-fe04edf05265
mostly-true,talk raising minimum wage half republicansagree,LIAR,cf404359-f1e6-44e9-a737-ee052ec42357
mostly-true,1998 nearly half floridas fourthgraders functionally illiterate today 72 read,LIAR,5171f794-8575-4c49-a3c4-e09950ffbb0a
true,state budget proposal submitted time earliest governor done two decades,LIAR,b8e9d10a-7db4-40f6-9b44-590509abe2c1
half-true,irs also investigated liberal groups groups progressive name irs basically looking everybody,LIAR,9e6f0e38-251a-446c-ab91-f24202fa5de5
true,theres money planned parenthood bill would keep government open,LIAR,97e39c2d-3988-474b-b7ff-47e8cb9b3648
mostly-true,says hillary clintons campaign hasnt clear wiped herserverof work emails,LIAR,a708eb36-08fd-47d0-b3a4-f0faa5a7fa17
true,house representatives prochoice majority,LIAR,7eac255a-7212-4e88-8d28-19c4042a8fc9
half-true,cuts local government school funding john kasichs budget caused many communities seek school levies local tax increases layoffs,LIAR,b76b1b07-3e03-449f-8b9f-ae806f2d6223
true,john mccain said last year didnt know solution mortgage crisis,LIAR,a07bdcba-49be-4869-9e77-3c9308884104
half-true,positions pro environment scored zero yes zero league conservation voters last year,LIAR,bdbd53cc-a29c-4a7d-95c4-3e86f0b5c03c
false,says joe kyrillos voted raid states pension funds 28 billion costing new jersey taxpayers still today tune nearly 15 billion dollars repay money,LIAR,c9926c19-3f78-4501-8d66-1da6cdf3997b
pants-fire,78 81 house democrats members communist party called congressional progressive caucus,LIAR,53cd1c7a-b2ea-4732-951a-b9e62cf9601c
mostly-true,obama hasnt iraq years,LIAR,7b695636-27c7-44f4-baaa-124db3730258
half-true,leticia van de putte opposed putting national guard troops border would send millions central american governments instead wrote law giving instate tuition illegal immigrants,LIAR,080c65aa-5cc5-4556-b02d-ba53520e7a13
half-true,paul ryans already spent millions try permanently derail brad schneiders progressive energized campaign,LIAR,5b7ce677-c9c8-4c5b-8898-c42e7bde6a84
pants-fire,says ohio consumers council office employs 74 lawyers funding wasteful duplication,LIAR,5aea4c2a-6c1b-4505-828f-f06c2008af53
barely-true,sherrod brown supported president obamas 453 billion tax increase,LIAR,79d622f1-71d8-437e-ba33-7d2eec8a264c
mostly-true,us go plane graveyards museums get parts 20yearold jet fighters sells new jets countries,LIAR,1e384509-dcf2-4ee4-b807-fbd42270f03f
mostly-true,says president barack obama promised pathway citizenship undocumented immigrants didnt deliver jack squat,LIAR,69a754af-1ef3-45d7-99ec-5627ef8215c4
half-true,lowflow toilets cost homeowners 1000,LIAR,32a7f37a-c1ae-496f-adc9-30d099103b47
barely-true,florida sen bill nelson got 25 billion 30 billion carveout medicare advantage patients state,LIAR,9f8637dc-e560-40f4-a3a2-4c83c2c8979b
barely-true,ronald reagan cut taxes 1981 us enjoyed exponential growth,LIAR,3df0d160-844a-4f59-968c-8156f37ceeac
half-true,says election clerk green bay refused allow early voting uwgreen bay campus afraid would help democrats showing outrageous partisan bias,LIAR,13f70e7e-fd7b-4f9b-950e-0459ff7b6584
mostly-true,rick perry planned retire legislature best friend david weeks talked switching parties running gop nomination agriculture commissioner,LIAR,6de24fb7-a3e2-4772-9ef8-068577cd322a
half-true,since 2007 texas gained 440000 people maryland lost 20000,LIAR,b2711a8c-aecc-4809-8221-fa254c0f97d7
barely-true,took office last year faced historic budget deficits 6 billion virginia closed deficits cutting spending,LIAR,26bc6c87-188a-4274-b852-bda84f6c9513
barely-true,president barack obamas health care reform slashed 500 billion medicare,LIAR,e272401e-3182-447c-b333-91e9f5857760
half-true,rick perry advocated liquidate states rainy day fund 2007,LIAR,dae3d5d1-df4f-4c05-8592-96d65db9129e
half-true,120000 solar energy jobs united states 1700 georgia,LIAR,cd6335d2-9db0-43fd-99c3-e861ddc35ea5
barely-true,early voting remains 96 hours,LIAR,df87c774-5049-4d87-9f2a-7172dbb20d7a
false,president barack obama shut nasa space flights turned agency muslim outreach department,LIAR,01e99ed5-66d1-41f7-9a36-2fe5b00760ab
half-true,says one three texas children drop high school,LIAR,792230d6-3ec7-4d24-8470-ff7a100ff3ef
false,campaign president hillary clinton received 100 million contributions wall street hedge funds,LIAR,bbb0e517-f7a1-4ca9-8718-860f10429cf4
false,says tom nelson backed higher taxes social security costing wisconsin seniors 95 million,LIAR,de79d480-8da7-4562-8a6f-4c658c3b7c73
mostly-true,georgia one nations highest jet fuel taxes,LIAR,f142d625-18cc-4dc5-b703-b91319f284a5
true,putting three republicans cabinetis unprecedented,LIAR,b3290e95-5d0e-4d32-a21f-953323e71fd3
false,klein hold single town hall meeting health care general public invited ask questions present views,LIAR,40cd4656-38b8-49b5-b643-449185c5b10b
false,2007 nancy pelosi met president assad syria nobody got upset,LIAR,a5a2601d-f612-4ae8-b7fd-433d5ded214a
mostly-true,says jeb bush happens majority republican voters areon giving legal status illegal immigrants,LIAR,162e5590-64d9-43cf-a4af-3432944b2572
true,uncompensated care gone 30 percent first months medicaid expansion states adopted,LIAR,61240af2-bfce-4c22-9a8f-b1aefa7ca96f
true,appalachian power wants another 10 percent rate increase compensation package ceo mike morris rose 22 percent 87 million 2010,LIAR,f13cdec6-0680-4318-b85e-158d401e364a
true,mccain got money airbus us executives politician,LIAR,c3a2cce5-fb86-4f8a-92d5-63ac77a5d270
half-true,says poll found republican candidate could beat barack obama texas eight points,LIAR,bd8ae021-b0b3-496f-a16e-9cb9c99e780a
half-true,liberal outofstate special interests spending millions 5 6 change way florida draws congressional legislative districts,LIAR,d6881bb2-db41-4207-927e-fefdf340d0e9
true,governors budget proposal reduces state austerity cut education 500 million 2016,LIAR,f5a36777-9a68-4ec1-bb9d-5b297b4d4c1c
barely-true,says tom cottons vote congress change medicare increase outofpocket expenses every senior arkansas,LIAR,d40529a4-ac2c-4edc-a98e-64720d6631d1
true,fortythree million americans food stamps,LIAR,7c6934c8-5174-44c3-9dff-0324dfd439f2
true,past decade new york state 30 current former state officeholders convicted sanctioned accused wrongdoing state,LIAR,f06dd830-a9c4-4436-9a40-71b452783b50
true,undocumented immigrants pay 12 billion taxes every single year,LIAR,3871f66c-c903-4231-95fc-f552dcc9c620
half-true,thanks policies first time state history put millions dollars rainy day fund consecutive years,LIAR,7426791d-fc5c-4cf6-acd2-249773b323e7
pants-fire,scott walker plan privatize state lands wants sell deer highest bidder,LIAR,7b7d99e1-2190-428a-b49d-86826815963b
barely-true,debate whether obamacare way go fix health care american voters said emphatically,LIAR,34675114-b75e-4bc7-a8a5-9963c2a888b9
barely-true,governor romney keep public safety funding line inflation,LIAR,4701df80-344a-459b-a924-fd83670defef
barely-true,largest lowwage employer mcdonalds walmart us government,LIAR,49a00199-b127-4548-befd-57563fa5261e
half-true,offshore drilling,LIAR,44c946c5-d903-4f18-8dfb-763fbf66b237
false,fundraising super pacs,LIAR,cd8a797e-c1b7-47aa-a247-a97325c3b34d
pants-fire,months office president barack obama traveled around globe apologize america,LIAR,4e824254-cc0d-4edd-8aa3-6a18fce46541
half-true,governors taking fiscal advice first fiscal quarter year weve seen 135 percent increase spending doubledigit spending executive branch state texas,LIAR,4de9e842-e44e-4976-8952-4f2725b9e757
mostly-true,says romney called russia 1 enemy,LIAR,a1ddf874-c22b-43ce-8fc3-c2b92e93c23c
false,clinton obama never knowledge involved legislation hearings engagement issue climate change,LIAR,5eb08821-fa14-4c90-850e-9e82039e6792
mostly-true,says president barack obama taken 92 days vacation since sworn compared 367 president george w bush point presidency,LIAR,c1c65905-c133-40af-a023-fb7233fdd4e2
mostly-true,says 77 percent portlands students finish elementary school without taking even one art class,LIAR,c5fba688-f071-40e1-aff5-2998a04275e3
half-true,sanction iranian central bank shut irans economy,LIAR,6f0c0c9d-1c26-44a3-a497-43c5066338b7
true,georgia dropout rate thats higher alabamas,LIAR,5c3d9ceb-1743-425b-8b42-407c5a573174
half-true,dolphins stadium renovation create 4000 new local jobs,LIAR,5c7a3aa0-6fd7-4f0a-97d5-c9fadc287810
barely-true,fighting republican ideas practicing law representing contributor rezko slum landlord business inner city chicago,LIAR,c4f2b2e2-5280-45a5-bd27-2c434712a6ff
pants-fire,dont bars campus texas law alcohol allowed,LIAR,3b24b0f6-0822-4b27-a9c8-2b75eb1bcc5b
true,test share facts widget,LIAR,1f1fda5d-90db-42b0-9118-14f135294941
true,flunked dc bar exam,LIAR,2254d7a6-31de-42dc-a547-decaca78d68c
barely-true,two years ago motorists ferguson city 20000 people received 31000 citations thats least one citation per person plus 10000 visitors city still surviving traffic tickets theres virtually industry,LIAR,94081733-d216-4d88-989c-c2b0febd7264
barely-true,embryonic stem cell research dead end one good example successful treatment,LIAR,5d1ab5d3-2cbc-46b9-94fe-655da4da0a14
half-true,year added average 200000 jobs per month majority private sector stark contrast bush administration record losing average nearly 750000 jobs per month last three months,LIAR,1b493d0b-173a-406a-a283-f493232f23e9
half-true,obamas tax plan 95 percent get tax cut,LIAR,cffc4f18-9776-4a2d-8982-f62525405045
mostly-true,says wasnt senate colleague able wrangle actual streaming video bp scientists able calculate oil spill flow,LIAR,2a80aa43-970c-42c9-8b5d-debec3e6908c
half-true,new rasmussen poll shows people oppose sotomayors confirmation 37 percent support,LIAR,7fdd68c4-2f7a-436b-9433-671e4a6e6da0
barely-true,fifty percent students enter higher education need take remedial courses prepared collegelevel work,LIAR,c0db3d57-2794-4885-a10f-09537ae2c5f1
half-true,says donald trump singlepayer health care system,LIAR,6abfd63d-c51b-4c16-ae78-64e7d769af4e
true,says sen rand paul rky stated supporting right health care means believe slavery,LIAR,f9c281d7-0f5a-42d0-99a9-09f7259c5ff2
half-true,rigells car dealership made 400000 cash clunkers bailout,LIAR,cba89518-ab01-4cd3-aa1b-7f7c79858c53
mostly-true,polls showing right american people part think bad idea provide tax cuts wealthy,LIAR,63387f67-bfc0-4630-8929-9d2da28555b9
false,nato opening major terror division im sure im going get credit largely saying criticism nato,LIAR,043201a5-6cdd-4e03-9208-b57a33bb10a5
mostly-true,oil natural gas industry provides supports 141600 jobs georgia,LIAR,83cf6033-559d-484c-9b91-7365d48aaea3
pants-fire,report navy times said 73 percent army navy marines thought attempting suicide,LIAR,545ef2b9-eaa2-41eb-b3b0-9035fef457eb
pants-fire,says nato base turkey attack terrorists,LIAR,ad046d41-d86d-4a54-b357-205edf6980de
barely-true,seeing dramatic rate cuts medicare affect seniors ability keep doctor hospital prevention services,LIAR,9dad65f8-647f-4e14-bba1-64a8f004eb10
false,kamala harris aboga por censurar x en estados unidos al estilo de brasil si es elegida presidenta en noviembre,PolitiFact,c5cadebb-f9c2-49b4-b57d-7cc07c74da4e
mostly-true,one recent polls said 75 percent american people said either dont anything start health care reform,LIAR,0abf7d76-1fbb-42aa-b1a9-85696b98814c
true,national debt track exceed size entire economy two years,LIAR,9be53063-03e1-4824-a1f1-a710c64f59b8
barely-true,tampa bay isleading state jobs creation,LIAR,d8297fbe-5a8d-4699-ba67-a92ac7d96890
barely-true,presidents advisers said theres war coal,LIAR,d41b4f2a-af41-4225-9166-feb89bd9bce2
barely-true,thompson voted 250000 caps damages almost anything would make legal system fairer,LIAR,8bf45620-646e-4870-a7bb-929e517f3b7d
half-true,twothirds people start minimum wage minimum wage within year,LIAR,0caafcc2-1cd7-4771-80c9-365bc87fc5da
half-true,university texas students signed petition seeking legal right abort newborn babies fiveyearsold,LIAR,e9a7f955-f6b5-4350-95dd-17d8afb0ceed
mostly-true,doubled size company hewlettpackard,LIAR,c195e4d5-39a0-4e4b-be06-9010b2ca9db1
true,five economic indicators federal government tracks first time since august 2006 positive october,LIAR,e38cffe7-85e0-4afa-a107-2c18e3dd5371
false,madisonmilwaukee highspeed train line dead,LIAR,3e9ca8d3-4ee5-4b00-ad6e-ef4a5d39fc5a
true,austin city basically doubled size every 25 years since founded,LIAR,becabf65-b82d-4855-9ada-acef3f47fc31
true,marco rubio made clear think donald trump con man hewent say doesnt trust donald trump nuclear codes,LIAR,339fec84-c243-4387-8f54-cd33442ca691
false,democrats health care reform law agovernment takeover health care,LIAR,19140d96-82a5-47df-b37f-afc5442da067
half-true,says mitt romneys plan calls 5 trillion tax cut,LIAR,38829a27-bcf9-4d39-9565-a3f3bbd09ac1
barely-true,says president obama wrong muslims historical contributions mankind algebra actually ancient babylonians compass chinese pens chinese medical discoveries,LIAR,7ef60564-9bf5-4522-8558-afe22c37227c
mostly-true,500000 us troops came home iraq afghanistan ptsd traumatic brain injury,LIAR,4820b2a3-723c-402a-af71-8e9c87d2a553
mostly-true,united states developed country world without paid maternity leave,LIAR,99fca739-2a4d-46d6-970d-a07a85cb4b07
half-true,hillary clinton also said unequivocally didnt receive classified documents,LIAR,7589e1a5-ef5e-4491-962b-0964b0a3c442
false,came office vaccination rate texas 65 percent left two weeks ago 95 percent,LIAR,8f6342bb-fd0d-48c9-9e3e-c18786f69d4a
mostly-true,says marco rubio worst voting record today,LIAR,1686e363-0148-4266-8347-8edaf8b313f6
mostly-true,year best privatesector jobs growth since 1999,LIAR,4735231f-59da-49b3-bf23-634ce1c4d1fd
true,2010 75 percent child abuse neglect reports oregon made required report law,LIAR,6240a5f5-6705-4cb0-a2d8-4ba9db20aa19
mostly-true,winning enough pledged delegates impossible,LIAR,36269a3a-99cc-4c53-ade5-c41a601bee87
barely-true,rob portmans plan tax slash privatize social security would devastate ohioans,LIAR,22ef4f3c-0f41-405e-b997-bd74de6ea96b
false,actually started criticizing war iraq obama,LIAR,139e3f9f-0d56-4d56-8af4-f6e58fffc067
pants-fire,sixty percent hispanics support arizona immigration law,LIAR,86c67af1-879c-4f29-b897-3ba3cbd93b2c
barely-true,rob cornilles tea party candidate,LIAR,b706dffe-695f-4771-9848-f23ea05a1f8d
